ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
Exactis-03,,36,"To define a dose and schedule of navitoclax (Recommended Phase II Dose, RP2D) that can be combined safely with Olaparib in women with metastatic recurrent high grade serous ovarian cancer (HGSC) and triple negative breast cancer (TNBC) for further study"
MedOPP100,Very slow recruitment due to subject profile,7,"To assess the efficacy of olaparib single agent in non-BRCA MBC patients whose tumours exhibit an homologous recombination deficiency (HRD) signature, as determined by Clinical Benefit Rate (CBR) using RECIST 1.1 criteria"
SYSU003-2020,,120,Degree of nail pigmentation
MS201922_0010,Trial withdrawn based on portfolio prioritization; oral ATRi M1774 in combination with niraparib is under investigation in DDRiver Solid Tumor 301,0,"Part 1 A and B: Number of Participants with Dose Limiting Toxicities (DLTs), Part 1 A and B: Number of Participants with Treatment Emergent Adverse Events (TEAEs), Serious TEAEs and Treatment-related TEAEs, Part 2: Objective response (OR) According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1 Assessed by Investigator, Part 3: Progression Free Survival (PFS) According to RECIST Version 1.1 Assessed by Investigator"
HR-BLTN-III-MBC-C,,590,PFS
ZWI-ZW25-202,,86,"Incidence of dose-limiting toxicities (DLTs; Part 1), Incidence of AEs (Part 1), Incidence of lab abnormalities (Part 1), Progression-free survival 6 (PFS6; Part 2)"
MC1892,Manufacturer will not be supporting this study,0,"Reduction in Vulvovaginal Symptom Questionnaire (VSQ) (symptoms, emotions, and life-impact)"
MC1734,,200,Proportion of patients who have a CD8/FOXP3 ratio < 1.6 in their residual tumors after neoadjuvant chemotherapy (NAC) that convert to CD8/FOXP3 ratio >= 1.6
UW20058,,25,"Number of cases where lymphatics were visualized by blue dye versus by ICG using the OnLume Imaging System, Number of cases where lymphatics were spared by blue dye versus by ICG using the OnLume Imaging System"
DokuzEUBanuNihan,,34,ultrasonographic measurement
202207200MIPB,,60,The expression of immune-related signature change after different CDK4/6 inhibitor treatments by RNAseq
2019COIMBRA001,,41,Mature oocyte yield from biopsied versus non-biopsied ovary
TADANAC,,100,Feasibility of new surgical technique TAD using Magseed
00055029,,30,"Functional Assessment of Cancer Therapy - Breast quality-of-life instrument, Qualitative interviews"
C4391002,,144,"Dose Escalation: Number of participants with Dose-limiting toxicities (DLT) during first cycle, Number of participants with treatment emergent adverse events (AEs), Incidence of participants with clinical laboratory abnormalities, Number of participants with vital signs abnormalities, Number of participants with corrected QT (QTc) interval"
CPH-2022-10-MHS-2,,66,• Incidence of HFS between control arm (Urea-based cream (CARBAMIDE®)) and intervention arm (Combination of Urea-based cream (CARBAMIDE®) and (VOLTAREN®) Emulgel 1%) measured by (CTCAE v 5.0).
HCRN BRE17-141,,48,Pathologic Complete Response (pCR)
YOUNGBC-11,,90,"PFS, Adverse events"
C4891018,,9,"Single dose Cmax (Maximum plasma concentration), Single dose AUCtau, Multiple dose Cmax, Multiple dose AUCtau"
P-2020-246,,50,"Participation (Acceptability 1), Participants satisfaction (Acceptability 2), Completion (Feasibility)"
YOUNGBC-18,,41,"PFS, OS, Adverse Events"
SHR-1210-APTN-IIT-TNBC,,40,ORR
PF008,,500,"Duration of Treatment, Treatment holds and permanent discontinuations time"
FMUUH-BC-2201,,214,Changes in lung injury grading on chest computerized tomography within 3 months after radiotherapy
20-153,,110,Progression Free Survival
OBU-BC-II-024,,104,pathological complete response (pCR)
328717,,136,"Chemotherapy completion rate, Analysis of the level of Quality of Life, Physical aptitude"
2066383,,44,"Feasibility measures, Telehealth Usability Questionnaire (TUQ), Acceptability of Intervention Measure (AIM), Intervention Appropriateness Measure (IAM), Feasibility of Intervention Measure (FIM), Canadian Occupational Performance Measure (COPM), NeuroQoL Cognitive Function Short Form"
2021-5644,,30,Number of calls
MC1935,,98,Complication rate
19F.265,,340,"Adjuvant hormone therapy (AHT) adherence, Symptom distress"
201901698B0,,130,State anxiety inventory (STAI) Survey
2,,50,"The System Usability Scale (SUS), Feasibility parameters as adherence, acceptability, response rate, representativeness, recruitment rate, and satisfaction, Bone@BC app"
2018-0477,,1410,"Underlying constructs, Known-group validity, Convergent validity, Live birth"
MedOPP253,,54,"Safety and tolerability of ipatasertib (GDC-0068) in combination with capecitabine, eribulin, or carboplatin plus gemcitabine; as incidence of Adverse Events as assessed by the investigator, with severity determined through the use of NCI-CTCAE v.4.03"
S-20180117,,80,Change in arm volume
BZ01/17,insufficient recruitment,10,Total volume (ml) of axillary/breast drainage until drain removal.
712,,60,Postoperative opioid consumption
RC48-C006,,301,Progression-free Survival (PFS) as Assessed by an IRC
KGYY-001,,60,Number of participants with treatment-related adverse events as assessed by NCI CTCAE 4.0
1808852902,,14,Need for opiate pain medication
UHaiArtBC,,343,"Depression, Fatigue, Pain (impact and interference)"
16381,,40,Piper Fatigue Scale
NL67059.068.18,,120,Health-related quality of life: Lymph-ICF questionnaire
WHUH-BC-001,,52,Objective Response Rate (ORR)
ALRN-6924-1-05,The study has been terminated early given that the first four patients enrolled have experienced Grade 4 neutropenia and alopecia after cycle 1 and as such failed to meet the primary endpoint and the main secondary endpoint.,6,"Safety and tolerability of ALRN-6924 in combination with TAC chemotherapy, Chemoprotective effects of ALRN-6924 on bone marrow toxicities"
202301160RINA,,210,"change from baseline circumference of both arms at 3 months after lymphaticovenous anastomosis, change from baseline volume of both arms at 3 months after lymphaticovenous anastomosis"
IRB00223131,,55,Number of patients with 5 percent weight loss (in SLOW-BWL)
202111198,,42,Central Nervous System Disease Control Rate (DCR)
Shengjing-LCG003,,152,Clinical Response
AHQU-2022002,,234,"Proportion of Patients With Significant Nausea, Rescue Treatment and Number of Times of Vomiting Occurs After chemotherapy (complete protection)."
IC 2019-04,,182,To compare the effect of ropivacaine versus placebo pectoral nerve block (Pecs 1 and 2) on acute pain after tumorectomy plus sentinel lymph node dissection on one day surgery
STU00201961B,,58,"Acceptability of My Guide: Usefulness, Acceptability of My Guide: Satisfaction, Acceptability of My Guide: Learnability, Acceptability of My Guide: Usability, Demand of My Guide: Recruitment Rate, Demand of My Guide: Retention Rate, ""Participant use of My Guide: Number of Logins"", Participant use of My Guide: Duration of Usage, Participant use of My Guide: Content Accessed, Change in Medication adherence will be assessed primarily with the Adherence to Refills and Medication Scale (ARMS)."
2-107-05-079,,84,Frequency of TCI device adjustments
2001272738,Principal investigator is moving to a new institution. Study is closing.,0,To determine if BMI/ obesity differentially influence expression and epigenetic signatures in TNBC from Hispanic compared to NHW women.
2018/781,,14,Patient experiences of the intervention
2012-090-1182,,368,"Quality of life (QoL), Quality of life (QoL), Quality of life (QoL)"
IRB00054587,,19,tGLI1 activation signature 8 (t-GAS 8)
VSN-18-199,,240,"FACIT-Fatigue Scale, Pittsburgh Sleep Quality Index, The Center for Epidemiological Studies Depression Scale, PROMIS cognitive function and cognitive abilities, The Rey 15-Item Memory Test, The Digit Span test, The Stroop task, The Trail Making test, Psychomotor Vigilance task, The automated Operation Span task, The Word Fluency Test"
2022YF035-01,,48,ORR
22-544,,63,Pathological complete response (pCR) Rate
2019-06-027,,583,Progression free survival
MRI in response assesment,,50,"correlations coefficient between functional techniques of MRI breast and histology, ""changes in the different functional techniques parameters according to the type of response."
021-013772,,40,"To compare clinical manageability, efficacy, safety, and sufficiency of two lymph node marking systems (HydroMark Clip versus LOCalizer)"
GCO 15-1783,,248,FACIT-Fatigue Scale
1191/2018,,126,Cognition
NCI-2017-01119,,600,Progression free survival
UAB 1794,,17,Length of Subject Survival After Starting Study Treatment
19-5080,,100,Cardiopulmonary Fitness
METIS,,180,Pathological Complete Response rate (pCR)
IUSCC-0616 (1709077419),feasability and recruitment issues,5,"Feasibility of Recruitment, Feasibility of Retention"
IRB00092014,,300,"Rate of recurrence, Rate of recurrence"
APA-PG1,,100,"Change in physical activity levels, Change in BMI"
26778919.3.0000.0072,,60,The change the effects of neuropathic pain syndromes management from baseline
HSM/VGH-2017-01-011AC,,140,"Decisional conflict, Oncofertility Barrier Scale, Infertility Knowledge Questionnaire"
H2207-207-1346,,64,6-month progression-free survival (PFS) rate
CRM-BRE-002,,282,Mammographic Density
BC-TATOO-2020,,200,Identification rate of tattooed node
ICO-N-2018-03,,385,False negative rate
20190511,,330,The identification rate of SLNs
RG1121659,,60,"Changes in Ki67, Changes in Ki67, Changes in estrogen receptor (ER)alpha, Changes in estrogen receptor (ER)alpha, Changes in ER beta, Changes in ER beta, Effect of HSD3B1 (1245C) variant on changes in Ki67, Expression of 3betaHSD1, Expression of intracellular androgen, Expression of estrogen levels"
17-AKD-186,,30,postoperative anaglesic effect of ESPB in unilateral segmental mastectomy patients
Immuno2020-01,,46,Overall response rate (ORR)
BGB-A317-ZW25-101,,71,"Number of Participants experiencing Adverse Events (AEs), Number of Participants experiencing Severe Adverse Events (SAEs) as assessed by the investigator., Objective response rate (ORR)"
STUDY00011444,,21,"Feasibility of the Application: The proportion of women who consent, take a tablet home, who actually interact with the tablet and participate at least one month of the program."
TQB3616-Ⅲ-02,,428,Progression-free survival as assessed by the investigator
ATOX-2018,,284,5-yr invasive disease-free survival (IDFS) rate
A5481150,,350,"Progression Free Survival, Overall Survival"
SHAW001,,40,"Late Effects Normal Tissue Task Force - Subjective, Objective, Management, Analytic Scale (LENT-SOMA) fibrosis assessment, Change in mammographic breast volume for breast conservation surgery patients, Change in breast distance measurement on mammogram for breast conservation surgery patients, Change in breast length measurement on mammogram for breast conservation surgery patients"
71306642-5/24,,60,Pain intensity score
CETC 002,,200,"Age-dependent influence of radiotherapy on circulating epithelial tumor cell counts (CETC) and immunophenotype (PBMC)., Longitudinal quantification of CETCs as well as immunophenotype at specific time points during the course of therapy., Comparison of immunohistochemical parameters of the primary tumor with the immunohistochemical and cytological parameters of CETC"
2021-0077,,25,"Incidence of dose-limiting toxicity, Clinical benefit rate (CBR)"
SYSA1501-CSP-005,,191,Objective Response Rate (ORR)
00031569,Device was sent back for repairs. It has not been returned to the site to date.,20,Spectroscopic photoacoustic image acquisition feasibility
1028595,,26,Short-Form McGill Pain Questionnaire-2 (SF-MPQ-2)
QoLMa,,62,Average Summary Score of the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC QLQ-C30)
CTPR-0015,Lack of site participation,0,Assess the rate of ipsilateral breast tumor recurrence (IBTR) at 5 years
FZPL-Ib-105,,32,Dose Limiting Toxicity (DLT)
TDM of TAM,,40,"To validate the rhelise™ kit for monitoring tamoxifen, 4-hydroxytamoxifen and Z-endoxifen among patients recommended or who have ongoing adjuvant tamoxifen., To validate the rhelise™ kit for monitoring tamoxifen, 4-hydroxytamoxifen and Z-endoxifen among patients recommended or who have ongoing adjuvant tamoxifen."
STUDY20110029,,600,Cancer Detection Rate
ECP 250 - 15/16,,104,"Prostate Cancer, Breast Cancer, Colon Cancer, Cervical Cancer"
CTR20220630,,78,"Change from sexual activity, Change from Female sexual function index, Change from Sexual distress"
2022-001,,40,"Differences between dosimetric metrics on deformed and delineated contours., Differences between dosimetric metrics on deformed and delineated contours."
REC 22/WA/0164,,35,Acceptability and usability of the app
2019DEPO-TRIGGER001,,30,"Safety profile with regard to the risk of OHSS: assessment of change in ovarian volume, Safety profile with regard to the risk of OHSS: assessment of change in hematocrit, Safety profile with regard to the risk of OHSS: assessment of change in hemoglobine, Safety profile with regard to the risk of OHSS: assessment of change in White Blood cell Count, Safety profile with regard to the risk of OHSS: assessment of change in Platelet Count, Safety profile with regard to the risk of OHSS: assessment of change in estimated glomerular filtration rate (eGFR), Safety profile with regard to the risk of OHSS: assessment of change in Creatinine, Safety profile with regard to the risk of OHSS: assessment of change in Albumin, Safety profile with regard to the risk of OHSS: assessment of change in liver function (AST, ALT, Gamma-GT, bilirubine, LDH), Safety profile with regard to the risk of OHSS: assessment of change in Oestradiol (E2), Safety profile with regard to the risk of OHSS: assessment of change in Progesteron, Safety profile with regard to the risk of OHSS: assessment of change in Follicle Stimulating Hormone (FSH), Safety profile with regard to the risk of OHSS: assessment of change in Luteinizing Hormone (LH)"
OSU-16288,,100,Biomarkers expression levels
20.478.486,,72,Sentinel lymph node detection rate
829400,,500,Invasive breast cancer detection
J16146,,200,"Ability of genetically profiling of ptDNA as assessed by identifying the proportion of genetic alterations in tumor tissue, Percentage of patients who cannot have NGS of metastatic site biopsy but have clinically actionable mutations detected via genetic profiling of ptDNA"
2022-A02337-36,,13,3D LAD mean dose vs 4D LAD mean dose
STUDY00001721,,24,Symptomatic CIPN
H19017,,51,"FEASIBILITY: Eligibility rate, FEASIBILITY: Recruitment rate, FEASIBILITY: Retention rate, FEASIBILITY: Attrition rate, FEASIBILITY: subject recruitment, FEASIBILITY: Duration for completing the subject recruitment, ACCEPTABILITY: Actual days of acupressure, ACCEPTABILITY: duration of each acupressure session, ACCEPTABILITY: SA protocol, FEASIBILITY: Questionnaire-Item-level missing value of each questionnaire, FEASIBILITY: Questionnaire-Scale-level missing value of the questionnaire, SAFETY: adverse events"
1100903,,72,Brief Pain Inventory-Worst Pain Item (BFI-WP)
LAAVA2,,70,Vaginal dryness
BXu-1839,,200,3-year disease-free survival
NABP201801,trial handovered to another sponser.,375,Progression-Free Survival (PFS) Assessed Using Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)by Independent Review Committee (IRC)
RG1121642,,20,Incidence of adverse events
C-plus-Pairs,,46,PFS
46.20 PAR ComEt CBM,,30,Maximum tolerated dose of stereotactic body radiotherapy (SBRT)
URomLS_4,,80,"Change of Depressive symptoms, Change of Anxiety Levels, Change of Alexithymia, Change of Resilience, Change of Psychological distress, ""Change of Peoples Dispositional Optimism"", Change of Hopelessness, Change of Body Image, Change of Breast Cancer Core"
012418QM,,146,pCR
R_ReLoCC,,3000,"Determine prevalence of local recorrence of breast cancer after conserving surgery in Portugal and Spain, Follow-up of recurrences up to 5 years after treatment of first recurrence"
2020466,,49,Pathologic Complete Response (pCR)
SYM011,,60,"To evaluate the proportion of patients with a Complete Response (CR), during the delayed phase (24-120 h post-chemotherapy) periods in cycle 1 by using patient diary, To evaluate the proportion of patients with Complete Protection during the delayed phase (24-120 h post-chemotherapy) periods in cycle 1 by using patient diary"
2021-0031,,100,Accuracy of contrast-enhanced mammography (CEM)
16-0040-02,,20,Walking physical activity as measured by daily steps at 14 weeks
X4P-001-201,,24,"CT, CT"
2022-008,,800,Time to progression
2017-0479,,60,"Consent rate, Treatment group compliance rate, Retention rate"
SYSU-2022-01,,100,Diarrhea grading
SAKK 21/18,Feasibility (low patient accrual and financial reasons),25,"Quality of life-adjusted early disease control, Quality of life-adjusted early disease control"
HelouEl,,380,Influencing Factors
2018/827,,351,"Quality of life, Cosmetic outcome"
RWS-PEGCSF,,2000,FN rate
736-19,,40,"intervention attendance, Participant satisfaction: survey, recruitment yield, retention, acceptability of intervention: in-depth interview"
198411013011,,68,Chemotherapy-Induced Peripheral Neuropathy Assessment Tool (CIPNAT)
AP1907-50101,,75,"Visual analogue score, Total morphine consumption, First time to receive morphine"
YOUNGBC-13,,30,PFS
2021-19,,46,"Pathological complete response (pCR) rate using the definition of ypT0/Tis ypN0 (i.e., no invasive residual in breast or nodes; noninvasive breast residuals allowed) at the time of definitive surgery"
A5481170,,2400,Real-world progression free survival
RLY-5836-101,,220,"Maximum Tolerated Dose (MTD) and Recommended Phase 2 Dose (RP2D) of RLY-5836, Number of participants with any dose-limiting toxicity (DLT), Number of participants with adverse events (AEs), Number of participants with serious adverse events (SAEs)"
BRI-ROL-001,,36,"Evaluate the Adverse Events (AEs), including Serious Adverse Events (SAEs), that occur in patients treated with SV-BR-1-GM administered in combination with INCMGA00012 (retifanlimab) [Safety], Evaluate the Proportion of Patients with Abnormalities in Safety Laboratory Parameters that occur in patients treated with SV-BR-1-GM administered in combination with INCMGA00012 (retifanlimab) [Safety], Evaluate changes in the electrocardiogram QT interval that occur in patients treated with SV-BR-1-GM administered in combination with INCMGA00012 (retifanlimab)[Safety]"
RP-PG-1214-20016,,32298,Prescription of chemoprevention.
220287,,25,Subject Retention Percentage
PI17/01687,,122,Change in left ventricular systolic function quantified by left ventricular ejection fraction and global longitudinal strain by transthoracic echocardiography
BCP-25,,256,The effects on the prevention of alopecia of two methods
20210312/2,,1200,Number of patients with pathological complete response
2018-1518,,6,"Change in Neuropathic Pain Sensations as determined by VAS, Change in cold pain threshold"
EUBREAST-4,,7416,"Rate of intended target lesion and/or marker removal, independent of margin status on final histopathology (number of study participants with intended target lesion and/or marker removal, divided by the number of all study participants), Negative resection margin rates (defined as lesion removal with no invasive or non-invasive carcinoma on ink) at first surgery"
UCI 18-79 [HS# 2020-5660],Halted due to study funding,1,Percentage of Participants With a Pathological Complete Response
ePOST,,100,Proportion of patients/participants that undergo hereditary cancer genetic testing after the telehealth intervention.
URCC16070,,1600,Average nausea defined as the average nausea rating across 15 assessment points (comparing prochlorperazine or olanzapine to control arm)
Shengjing-LJY06,,100,post-surgery pathology concordance rate
Pro00105104,Lack of enrollment,1,"Adverse Events, Serious Adverse Events"
202210064DIPD,,54,"Circumference discrepancy of bilateral upper arm, Circumference discrepancy of bilateral upper arm, Circumference discrepancy of bilateral upper arm, Circumference discrepancy of bilateral upper arm"
PERT.21.001,,268,Compare Overall Response Rate (ORR) (According to Response Evaluation Criteria in Solid Tumor [RECIST] 1.1 Criteria) at day 127 from baseline
HCI140278,,6,Number of patients on the FORESEE trial refractory to all combinatorial hormonal therapies that are recruited and imaged with FES-PET/CT prior to switching to non-hormonal therapeutic agents
MedOPP068,,198,PFS (Progression-free survival)
69HCL17_0480,,109,"Experiences and views of patients, caregivers, and health care professionals involved in the long-term management of asthma, cancer and stroke about real and ideal practices in collaborative self-management support."
KCT003,,50,"Arm Volume Maintenance or Improvement, LYMQOL (LYMphedema Quality of Life)"
SILMET_0107665,,70,intracranial local recurrence
S-20180134,,60,Lymphedema
241379,,100,Identification rate of tattooed node
A5481158,,1500,Proportion of patients on treatment
2021/270,,42,European Organisation for Research and Treatment of Cancer (EORTC) Quality of Life questionnaire-Core Questionnaire (QLQ-C30)
EUBREAST-11R,,1236,Implant-loss at three months postoperatively
202109031MIPD,,56,Progression-free survival
00048814,,30,"Weight, Program engagement, Program retention, Program satisfaction"
JD-LK-2022-136-01,,45,Objective Response Rate #ORR#
2017/12-SBO-GHMG,,120,>20% increase of the EORTC QLQC30 score (annexe 1) at the third week after the last chemotherapy session in the auto-hypnosis arm compared to the standard care arm.
WSG-NIS04 / PROOFS,,1470,"5-year distant recurrence-free interval (dRFI, according to STEEP criteria version 2.0)"
LYT-100-2020-01,,50,"Safety and tolerability: treatment-emergent adverse events (TEAEs), Use pharmacokinetics to characterize the plasma concentration of LYT-100"
SCHBCC-N023,,10000,"Change from baseline in BREAST-Q score, Change from baseline in health-related quality of life measured by EORTC QLQ-C30, Change from baseline in health-related quality of life measured by EORTC QLQ-BR23"
2017-0328,,64,Distress
2179 CE,,60,Anxiety reduction
Pro00117242,,68,Accelerometer measured moderate-to-vigorous activity
MC1937,,500,"Correlation between HER2 specific T-cell response and clinical response, Correlation between antibody response and clinical response"
2018-A03054-51,,97,"Measure patients age at the beginning of Halaven® treatment in patients who received Halaven® and who were in response since 6 months or more"", Characterize tumor of patients who received Halaven® and who were in response since 6 months or more, Characterize patients who received Halaven® and who were in response since 6 months or more, according to previous treatments (neoadjuvant and/or adjuvant treatments), Characterize patients who received Halaven® and who were in response since 6 months or more, according to the number of lines of treatment received for metastatic disease, Characterize metastatic localizations of patients who received Halaven® and who were in response since 6 months or more, Characterize patients who received Halaven® and who were in response since 6 months or more, Measure the number of Halaven® injections to obtaine the ""best"" response in patients who received Halaven® and who were in response since 6 months or more, Measure the best response under Halaven® in patients who received Halaven® and who were in response since 6 months or more, Measure hormonal receptors tumours of patients who received Halaven® and who were in response since 6 months or more, Measure KI-67 tumours of patients who received Halaven® and who were in response since 6 months or more, Measure Scarff Bloom Richardson grade tumours of patients who received Halaven® and who were in response since 6 months or more"
US-003,,65,Retrieval rate of clipped node and Magseed in the excised specimen
7119-002,,25,"Percentage of participants with ≥1 adverse event (AE), Percentage of participants discontinuing from study therapy due to AE"
21-169,,120,Hair Loss Rate
2018-002,,27,"The percentage of patients experiencing ≥ 20% response to neratinib only therapy, rate of pathologic complete response (pCR)"
12345,,120,"frequency of objective response, complete pathomorphological response"
GLSI-21-01,,598,Invasive Breast Cancer-free Survival (IBCFS)
A221702,,516,Incidence of upper extremity (UE) lymphedema
22-006606,,60,Axillary lymph node (ALN) diagnosis by radiologist (benign or malignant) (Aim 2)
CAPRICE,Due to the lack of financial and human resources the investigators were unable to continue the study. The targeted sample size was not achieved due to recruitment difficulties (mainly related to the Covid-19 pandemic).,57,Changes from baseline in left ventricular (LV) global longitudinal strain (GLS)
CT/2019/CANFLAX,,60,Left ventricular ejection fraction (LVEF) change
20-754,,80,Retrieval Rate
URomLS-2019,,65,Time variation of the normalized jerk (NJ) within biomechanical reaching movement
2021-01-075,,178,2nd Progression free survival (PFS)
mavis20023,,31,"knowledge tests, decision conflict-sure, Decision Regret Scale DRS"
HiFi-APBI,,60,"Adjuvant treatment - the early toxicity incidence, Adjuvant treatment - the late toxicity incidence"
Self-compassion FCR,,160,"Fear of cancer recurrence (FCR), Change from Baseline Fear of cancer recurrence (FCR) after immediately completing intervention, Change from Baseline Fear of cancer recurrence (FCR) at 3 months, Change from Baseline Fear of cancer recurrence (FCR) at 6 months, Change from Baseline Fear of cancer recurrence (FCR) at 12 months"
20-010751,,125,BI-RADS Score
IJB-BC-TDM1BM-2016,"As most HER2+ patient develop brain mets while on/after having received TDM1, it has proven to be an insurmountable challenge to recruit patients",0,Clinical Benefit (CB)
1B-15-6,PI left institution,0,Change in MetD
P018,Replaced by other study NCT05747794,0,Safety and tolerability profile of efti in combination with weekly paclitaxel both given the same day
QUILT 2021-1,,113,Textbook outcome
2020-10/850,,200,Determining the preoperative anxiety level and evaluating the difference between the preoperative moca test and the moca test performed on the postoperative 7th day (early period)
IEO 0758/,,22,Evaluation of the accuracy of histological examination of the VABB performed pre-surgery
MC18C1,,2,Serially measured total sensory neuropathy scores
GN19ON381,,60,"Left Ventricular Systolic Dysfunction, Reduced Global Longitudinal Strain (global and segmental), Reduced Circumferential Strain (global and segmental)"
CBYL719H12301,,137,"Progression-free Survival (PFS) Per Investigator Assessment in Study Part A, Progression-free Survival (PFS) Per Investigator Assessment in Study Part B2, Overall Response Rate (ORR) based on local radiology assessments in subjects with measurable disease at baseline in Study Part B1"
2021/03,,60,"Compare the values of QTc generated by method 1 (overlap method on triplicate of 10 seconds ECG concatenated, TCM; the method of reference) versus method 2 relying on AI methodology in patients candidate for ribociclib start"
WSG-AM11,,1250,invasive disease-free survival (iDFS)
2018-0528,,25,"Incidence rate of lymphedema development, Time to lymphedema development"
1024489,,100,Change in Left Ventricular (LV) Function
OBI-822-011,,668,Measuring the effect of adagloxad simolenin (OBI-822)/OBI-821 treatment on improving invasive disease free survival (IDFS) in the study population.
CCR 5006,,104,The difference in the proportion of mutations of the PIK3CA gene.
ICO-N-2018-12,,200,evaluate quantitatively the use of dietary supplements in patients during IV chemotherapy
20180349,,219,"Occasion of consultation, Frequency of consultation, Duration of consultation"
MSCW2019,,135,Tumor specific fatigue symptomatology
H-18016600,,120,"Bone Mineral Density, Metabolic syndrome"
2020-12-044-012,,72,Chemotherapy induced cardiomyopathy
IJB-PRINTEMPS-2022,,50,Evaluate the feasibility of the specific fatigue management program
NIS07075,,300,Patient Compliance
HNCH-BC009,,403,"complete response rate in the acute (0-24 hours post-chemotherapy), delayed (24-120 hours post-chemotherapy) phase."
c5ZTCN100,,12,"Observed Dose Limited Toxicities (DLTs) in safety lead in phase, Incidence of treatment-emergent adverse events, Incidence of treatment-emergent adverse events"
CRO-2019-26,,68,24h NLR variation
YM111146EF,,60,"Sleep Quality Index, Sleep Quality Index, Anxiety, Anxiety"
AP2205-5015,,120,Total analgesic requisite
LCCC1921,,55,Change in Visual Working Memory - Delayed Matching to Sample Test
182113,,250,National Institutes of Health Toolbox - Cognition Domain - Oral Symbol Digital Test
EC /2018/0996,,20,Feasibility of preop RT will be assessed in terms of overall treatment time
ICO_UCC_202001,,20000,"Intervention 1: Participation in colorectal cancer screening program, Intervention 2: Participation in colorectal cancer screening program among individuals who pick the test at the pharmacy, Intervention 3: Participation in breast cancer screening program"
19-008929,,80,Peripheral neuropathy (PN)
2018-172,,60,"quality of life, weight, nutritional status"
19-578,,51,Pathological complete response(pCR) rate with sacituzumab govitecan
Ref. 070/2018,,103,"Which technique presents less pain in visual analogue scale (VAS score) in the immediate postoperative, Which technique presents less pain in visual analogue scale (VAS score) 24 hours after surgery, Which technique presents less pain in visual analogue scale (VAS score) 3 months after surgery., Which technique presents less pain in visual analogue scale (VAS score) 1 year after surgery., Rate of participants that required opioid consumption., Rate of participants that required consumption of analgesia 1 year after surgery."
2021-04031,,160,"Distress (DIS-A), Distress (DIS-A), Distress (DIS-A), Distress (DIS-A), Distress (DIS-A)"
A211601,A211601 closed prematurely due to slow accrual.,18,Mammographic percent density (MPD) in the contralateral (unaffected) breast between the aspirin and placebo arms
PSCI 21-045,,56,"Markers of inflammation: C-reactive protein, Markers of inflammation: C-reactive protein"
22-4004,,1500,"Immunohistochemistry, Germline Mutations, Mutational Landscape"
AC-TMSQ-2018,,40,Sleep Disturbances (insomnia)
STU-2019-0769,,14,"Measure DNA damage response to PARP inhibition, Characterize changes in ADP ribosylation to PARP inhibition, Correlate DNA damage response to ADP ribosylated proteome"
R-2021-3203-005,,72,"Identify the progression timing., Identify the recurrence timing."
CD07_TNBC,,48,"Phase Ib: Maximum Tolerated Dose (MTD) of leronlimab (PRO 140) when combined with carboplatin AUC5, Phase II: Progression free survival (PFS) defined as time in months from the date of first study treatment to the date of disease progression or death from any cause, whichever comes first."
F16J16000620002,,6000,the cumulative incidence of advanced screen-detected cancers (T2 +) and the cumulative incidence of advanced interval cancers (T2 +)
NUR20-0124CRYO,Principal Investigator retired before study completed.,14,"Numbness,tingling,pain ,nail toxicities"
32551/09/2018,,83,The use of l-carnitine may be of use in extending the continuous use of anthracycline-containing chemotherapy
AAAS3402,,22,Prevalence of hyperglycemia
2017-1535,,45,Immune activation measured by changes in the peripheral immunoscore (PIS) at week 6
HUM00208684,,100,Percentage of particpants in the 65+ AI therapy group who complete 3 serial blood collections and 5 serial ePRO collections
12341234,,20,Skin Dose Enhancement Under Brass Mesh Bolus
Mepitel RCT,,216,Number of participants with treatment-related radiation-induced skin toxicity as assessed by the CTCAE v.5.0.
ShandongCHI-07,,200,disease free survival(DFS)
D8532C00005,,6,"The cumulative amount of AZD9833 excreted (CumAe), The cumulative amount of AZD9833 excreted, expressed as a percentage of the radioactive dose administered (Cum%Ae), Assessment of metabolites in plasma by liquid chromatography-radiochemical-detection and subsequent mass spectrometry, Assessment of metabolites in urine by liquid chromatography-radiochemical-detection and subsequent mass spectrometry, Assessment of metabolites in faeces by liquid chromatography-radiochemical-detection and subsequent mass spectrometry"
CADEX-0001,Interim analysis and algorithm development.,750,"DNA Integrity Index as a predictor of progressive disease in a cohort of metastatic patients (250 Lung Cancer (NSCLC, SCLC), 250 CRC and 250 BC patients as compared to standard RECIST/iRECIST criteria."
ELIPSE (SOLTI-1905),,23,Complete Cell Cycle Arrest
VI-ISRP-026,Recruitment issues,10,Sexual dysfunction
5652-18-SMC,,136,"Development and degree of any skin reaction, Development and degree of any skin reaction, Development and degree of any skin reaction"
İboelif22,,54,"Demographic Information Form, Mini Mental State Test, International Survey of Physical Activity (IPAQ), EORTC QLQC30 Quality of Life Scale, Montreal Cognitive Assessment Scale (MOCA)"
FEMAL,,34,efficacy of Femal in reducing the mean score of vasomotor symptoms between baseline (T0) and month 3 (T2).
