ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
H3B-6545-G000-102,A Study of H3B-6545 in Combination With Palbociclib in Women With Advanced or Metastatic Estrogen Receptor-Positive Human Epidermal Growth Factor Receptor-2 (HER2)-Negative Breast Cancer,"Active, not recruiting",Interventional,Experimental,"Drug, Drug",Sequential Assignment,Phase 1,Yes,No
NCI-2018-01581,"Testing the Addition of an Individualized Vaccine to Nab-Paclitaxel, Durvalumab and Tremelimumab and Chemotherapy in Patients With Metastatic Triple Negative Breast Cancer",Recruiting,Interventional,"Experimental, Active Comparator","Procedure, Procedure, Drug, Procedure, Biological, Drug, Procedure, Drug, Biological, Drug, Biological",Parallel Assignment,Phase 2,Yes,No
CAR202,A Phase II Study of Chiauranib in Combine With Capecitabine in TNBC,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
SIB16134,Pilot Study to Define the Immune Response Following Cryoablation of Invasive Breast Cancer,Withdrawn,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No
2020-11/15,"The Effect of Art Therapy on Pain, Emesis, Anxiety and Quality of Life, Breast Cancer",Completed,Interventional,"Experimental, Experimental",Other,Parallel Assignment,Not Applicable,No,No
20D.876,SABR-CaRe in Early Stage Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental","Other, Radiation, Procedure, Other, Other, Procedure, Other",Parallel Assignment,Phase 2,No,No
41494,Feasibility of a Remotely-Delivered Yoga Intervention on Cognitive Function in Breast Cancer Survivors,Completed,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
19D.799,A Study to Compare the Effectiveness of Two Types of Ultrasound Technologies in Women Who Have Had Breast Cancer,Recruiting,Interventional,Experimental,"Procedure, Procedure",Single Group Assignment,Not Applicable,No,No
21-110,Anti-anxiety Biotics for Breast Cancer Survivors,Completed,Interventional,"Experimental, Placebo Comparator","Dietary Supplement, Dietary Supplement",Parallel Assignment,Not Applicable,No,No
GM1-CIPN-202,"A Multicenter, Randomized, Double-blind Phase II Trial to Evaluate GM1 Prevention of Peripheral Neuropathy in Patients With Breast Cancer",Not yet recruiting,Interventional,"Experimental, Experimental, Placebo Comparator",Drug,Parallel Assignment,"Phase 2, Phase 3",No,No
HSaleem,Kinesiology Taping Technique in Post-mastectomy Breast Cancer Related Lymphedema,Recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
220493,Lymphatic Function in Patients Who Have Undergone Breast Cancer Treatment,Unknown status,Interventional,Other,Drug,Single Group Assignment,Not Applicable,No,No
2020-q12,Hypofractionation With Simultaneous Integrated Boost for Early Breast Cancer,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Not Applicable,No,No
1280-0022,The XENERA™ 1 Study Tests Xentuzumab in Combination With Everolimus and Exemestane in Women With Hormone Receptor Positive and HER2-negative Breast Cancer That Has Spread,Completed,Interventional,"Experimental, Placebo Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
112626,Three Fraction Radiation to Induce Immuno-Oncologic Response,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Not Applicable,No,No
0124-18-TLV,Vivomixx for Prevention of Bone Loss in Women With Breast Cancer Treated With an Aromatase Inhibitor,Unknown status,Interventional,"Active Comparator, Placebo Comparator","Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",No,No
BL2014084,"This Study Was a Prospective, One-arm Open Phase II Clinical Trial. A Systematic Review of the pCR of Apatinib in Combination With the Albumin Paclitaxel and Carboplatin Regimens for the Neoadjuvant Therapy of Triple-negative Breast Cancer, as Well as the Safety of Treatment",Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
RLY-2608-101,"First-in-Human Study of Mutant-selective PI3Kα Inhibitor, RLY-2608, as a Single Agent in Advanced Solid Tumor Patients and in Combination With Fulvestrant in Patients With Advanced Breast Cancer",Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 1,Yes,No
CLEE011A2207,"Study of 2 Ribociclib Doses in Combination With Aromatase Inhibitors in Women With HR+, HER2- Advanced Breast Cancer","Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
21050,An Investigational Scan (64Cu-DOTA-Trastuzumab PET/MRI) in Imaging Patients With HER2+ Breast Cancer With Brain Metastasis,Recruiting,Interventional,Experimental,"Other, Procedure, Device, Biological, Biological",Single Group Assignment,Phase 4,Yes,Yes
55054,Inspiratory Muscle Training in Obese Breast Cancer Survivors,Not yet recruiting,Interventional,"Experimental, Sham Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
PILOT 171548,RISE - Reduce Sitting Time Among Breast Cancer Survivors,"Active, not recruiting",Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
Pro00109777,Secondary BRain Metastases Prevention After Isolated Intracranial Progression on Trastuzumab/Pertuzumab or T-DM1 in Patients With aDvanced Human Epidermal Growth Factor Receptor 2+ brEast Cancer With the Addition of Tucatinib,Recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,Yes,No
22-225,ETHAN - ET for Male BC,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
ShandongCHI-04,The Maintenance Regimen and Revised Regimen for Advanced Breast Cancer Survivors After First-line Salvage Therapy,Unknown status,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,"Phase 2, Phase 3",No,No
1710018694,Pembrolizumab And Stereotactic Radiosurgery (Srs) Of Selected Brain Metastases In Breast Cancer Patients,Recruiting,Interventional,Other,Drug,Single Group Assignment,"Phase 1, Phase 2",Yes,No
MC1733,A Vaccine (MV-s-NAP) for the Treatment of Patients With Invasive Metastatic Breast Cancer,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,Yes,No
294-2018,Efficacy Study of Mepitel Film the Prophylaxis of Radiation-Induced Skin Reactions in Breast Cancer Patients,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
29747,T-DM1 and Palbociclib for Metastatic HER2 Breast Cancer,Completed,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,Yes,No
IFG-NIB-01,Neoadjuvant Pembrolizumab(Pbr)/Nab-Paclitaxel Followed by Pbr/Epirubicin/Cyclophosphamide in TNBC,Completed,Interventional,Experimental,"Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,Yes,No
PRESSODOU-1809,Mechanical Stimulation on Pain Level and Functional Discomfort After Breast Cancer Surgery,Recruiting,Interventional,"Experimental, Sham Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
WSG-AM08,"Adj. Marker-adjusted Personalized Therapy Comparing ET+Ribociclib vs Chemotherapy in Intermediate Risk, HR+/HER2- EBC",Recruiting,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 3,No,No
MRG002-005,A Study of MRG002 in the Treatment of Patients With HER2-low Locally Advanced or Metastatic Breast Cancer (BC),Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
HLX10-013-TNBCneo,to Evaluate Efficacy and Safety of HLX10 in Combination With Chemotherapy Versus Placebo in Combination With Chemotherapy as Neoadjuvant Therapy and HLX10 Versus Placebo as Adjuvant Therapy in Patients With Triple Negative Breast Cancer (TNBC),Not yet recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug, Drug",Sequential Assignment,Phase 3,No,No
INT 192/19,Calorie Restriction With or Without Metformin in Triple Negative Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Experimental","Dietary Supplement, Drug, Drug",Parallel Assignment,Phase 2,No,No
IRB-53650,"Study of Infigratinib in Combination With Tamoxifen in Hormone Receptor Positive, HER2 Negative, FGFR Altered Advanced Breast Cancer",Terminated,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No
VICC BRE 17107,Atezolizumab and Cobimetinib or Idasanutlin in Participants With Stage IV or Unresectable Recurrent Estrogen Receptor Positive Breast Cancer,Terminated,Interventional,"Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No
2017-004938-28,Satisfaction Assessment of Patients With Local Breast Cancer When Using Cosmetics During Chemotherapy and Post-treatment Thermal Cure,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
Pro00103625,Impact of Endocrine Therapy and Abemaciclib on Host and Tumor Immune Cell Repertoire/Function in Advanced ER+/HER2- Breast Cancer,"Active, not recruiting",Interventional,"Active Comparator, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No
2017/01,Study Evaluating the Impact of Electronic Surveys on Patient-physician Communication and Quality of Life in Breast Cancer Patients,Unknown status,Interventional,"Active Comparator, Placebo Comparator",Other,Parallel Assignment,Phase 3,No,No
G0F9119N,CoMoon for Supporting Breast Cancer Patients on Adjuvant Endocrine Therapy,Completed,Interventional,"No Intervention, Experimental",Device,Parallel Assignment,Not Applicable,No,No
NCI-2018-01519,Radiation Therapy With or Without Olaparib in Treating Patients With Inflammatory Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Radiation",Parallel Assignment,Phase 2,Yes,No
OP_1413,Imaging Versus Cardiac Biomarker Monitored HER2 Directed Therapy in Patients With Breast Cancer,Recruiting,Interventional,"No Intervention, Experimental",Diagnostic Test,Parallel Assignment,Not Applicable,No,No
2020-001,"Phase 2 Study to Evaluate PVX-410 + Pembrolizumab + Chemotherapy for Metastatic, PD-L1+ Triple-Negative Breast Cancer",Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
NCI-2022-07265,"Testing the Use of Fulvestrant and Binimetinib Targeted Treatment for NF1 Mutation in Hormone Receptor-Positive Metastatic Breast Cancer, A ComboMATCH Treatment Trial",Recruiting,Interventional,"Experimental, Active Comparator, Experimental","Drug, Procedure, Procedure, Procedure, Drug, Procedure",Parallel Assignment,Phase 2,Yes,No
G1T28-208,"Trilaciclib, a CDK 4/6 Inhibitor, in Patients Receiving Gemcitabine and Carboplatin for Metastatic Triple-Negative Breast Cancer (TNBC)","Active, not recruiting",Interventional,"Experimental, Placebo Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No
ZZBGCART-016,EGFR/B7H3 CAR-T on Lung Cancer and Triple Negative Breast Cancer,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Early Phase 1,No,No
21-038,Fulvestrant + Neratinib In Breast Cancer,Not yet recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,Yes,No
STUDY00004257,"Letrozole With and Without Simvastatin for the Treatment of Stage I-III Hormone Receptor Positive, HER2 Negative Breast Cancer",Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Early Phase 1,Yes,No
09.2019.865,Responsiveness of Outcome Scales in Breast Cancer Related Lymphedema,Unknown status,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
I-3010822,"Rintatolimod, Celecoxib and Interferon Alpha 2b With Pembrolizumab For the Treatment of Patients With Metastatic or Unresectable Triple Negative Breast Cancer",Not yet recruiting,Interventional,"Experimental, Experimental","Procedure, Procedure, Drug, Procedure, Biological, Procedure, Biological, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No
UMCC 2021.056,An Attention-Restorative Therapy (ART)-Based Virtual Reality Intervention to Address Cancer-Related Cognitive Impairments Among Breast Cancer Survivors,Completed,Interventional,"Experimental, Experimental",Other,Parallel Assignment,Not Applicable,No,No
BOOG 2019-01,"TAS102 in Patients With ER-positive, HER2-negative Advanced Breast Cancer",Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
AZV2022,The Effectiveness of Psychological Interventions in Psycho-neuroendocrine-immune Network in Breast Cancer Survivors,Recruiting,Interventional,"Experimental, Experimental, Experimental, No Intervention","Behavioral, Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
RF-2016-02362383,Evaluation of ATRA Activity in Combination With Anastrozole in Pre-operative Phase of Operable Early Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No
HYPART,HYPofractionated Adjuvant RadioTherapy in 1 Versus 2 Weeks in High-risk Patients With Breast Cancer (HYPART).,Recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Not Applicable,No,No
UTD-1-BM-II,"The Efficacy and Safety of Eutideron, Etoposide, and Bevacizumab in Patients With Brain Metastases From Breast Cancer.",Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Not Applicable,No,No
2018/14-01,A New Mindfulness Intervention Called Mindfulness Based Swinging Technique (MBST) for Women With Breast Cancer,Completed,Interventional,"Experimental, Active Comparator",Behavioral,Crossover Assignment,Not Applicable,No,No
UC-0140/1814,"Locoregional Treatment and Palbociclib in de Novo, Treatment Naive, Stage IV ER+, HER2- Breast Cancer Patients",Recruiting,Interventional,Other,"Drug, Other",Single Group Assignment,Not Applicable,No,No
NBG-19-01; SWEBCG 19-01,"NordicTrip, a Translational Study of Preoperative Chemotherapy in TNBC",Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 3,No,No
bakircaymzeren07,Does Inclusion of Diaphragmatic Breathing Exercises in Complete Decongestive Therapy Provide Further Benefits in Patients With Breast Cancer Related Lymphedema,Recruiting,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
2021SCR,Cone Beam Breast CT for Breast Cancer Screening,"Active, not recruiting",Interventional,"Experimental, Experimental","Device, Device",Parallel Assignment,Not Applicable,No,Yes
Lymphedema Rehabilitation,New Therapeutic Approach in Upper Limb Lymphedema Secondary to Breast Cancer: Activity-oriented Proprioceptive Antiedema Therapy (TAPA),Unknown status,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
IRB-30000320,"Gut Microbe Composition, Exercise, and Breast Breast Cancer Survivors",Recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
VMA-253-18,Fish Oil and EPO in Breast Cancer,Recruiting,Interventional,"Experimental, No Intervention",Dietary Supplement,Parallel Assignment,Not Applicable,No,No
9764,"Endocrine Therapy in Treating Patients With HER2 Negative, Low Risk Breast Cancer",Withdrawn,Interventional,Experimental,"Drug, Drug, Other, Drug, Other, Other, Drug, Drug",Single Group Assignment,Phase 4,Yes,No
EA1211,"Testing the Role of FDG-PET/CT to Predict Response to Therapy Prior to Surgery for HER2-positive Breast Cancer, The DIRECT Trial",Not yet recruiting,Interventional,Experimental,"Drug, Procedure, Other, Procedure, Procedure",Single Group Assignment,Phase 2,No,No
11B1920N_BCS-PAIN,The Effect of Pain Neuroscience Education and Behavioural Graded Activity on Chronic Pain in Breast Cancer Survivors,Recruiting,Interventional,"Experimental, Active Comparator","Other, Other, Other",Parallel Assignment,Not Applicable,No,No
ShandongCHI-13,Comparison Study of Different Tumor Biopsy Method for Sentinel Lymph Node Biopsy in Breast Cancer,Unknown status,Interventional,"Experimental, Experimental, Experimental","Behavioral, Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
3-2020-0448,Repeat Sentinel Lymph Node Biopsy in Ipsilateral Breast Tumor Recurrence,Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
Pro2020001306,Radiation Therapy Boost Before Surgery for the Treatment of Non-metastatic Breast Cancer,Recruiting,Interventional,Experimental,"Other, Other, Radiation, Procedure, Radiation, Other",Single Group Assignment,Not Applicable,No,Yes
17502,A Study of LY3484356 in Participants With Advanced or Metastatic Breast Cancer or Endometrial Cancer,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 1,Yes,No
2861/20,Circulating Tumor Cells and Treatment De-escalation After Neoadjuvant Therapy for HER2 Positive Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental, Active Comparator, Experimental","Drug, Drug, Other",Factorial Assignment,Phase 2,Yes,No
GY202201,Efficacy of Acupuncture Treatment for Breast Cancer-associated Insomnia,Recruiting,Interventional,"Experimental, Sham Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No
WO40181,"A Phase II Study Comparing The Efficacy Of Venetoclax + Fulvestrant Vs. Fulvestrant In Women With Estrogen Receptor-Positive, Her2-Negative Locally Advanced Or Metastatic Breast Cancer Who Experienced Disease Recurrence Or Progression During Or After CDK4/6 Inhibitor Therapy",Terminated,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
BMTN,Effect of Bevacizumab in Metastatic Triple Negative Breast Cancer,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
20190304-01H,"Breaststroke Swimming After Breast Cancer Treatment/Surgery as a Means of Treatment for Seroma, Lymphedema, and Chronic Arm and Chest Pain",Recruiting,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
30388,"Window of Opportunity Trial, PARP Inhibitor Rucaparib Affect on PD-L1 Expression in Triple Negative Breast Tumors","Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Early Phase 1,Yes,No
STUDY00146320,Phase IIB Trial of Bazedoxifene Plus Conjugated Estrogens,Recruiting,Interventional,"Experimental, Other",Drug,Parallel Assignment,Phase 2,Yes,No
SM-88-001,Study of SM-88 in Advanced Cancers,Withdrawn,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",Yes,No
2022-A00437-36,Impact of Sleep Disturbance on Cognition and Quality of Life in Breast Cancer,Not yet recruiting,Interventional,"Experimental, Active Comparator, Active Comparator",Diagnostic Test,Parallel Assignment,Not Applicable,No,No
2.073.549,Pilates and Dance to Breast Cancer Patients Undergoing Treatment,Completed,Interventional,"Experimental, Experimental, No Intervention","Other, Other",Factorial Assignment,Not Applicable,No,No
2-114-18,Is Dietary Nitrate Effective in Reducing Aerobic Glycolysis in Breast Cancer?,Unknown status,Interventional,Experimental,Dietary Supplement,Single Group Assignment,Not Applicable,No,No
NCI-2020-02319,Testing the Addition of Copanlisib to Eribulin for the Treatment of Advanced-Stage Triple Negative Breast Cancer,Recruiting,Interventional,"Active Comparator, Experimental","Procedure, Procedure, Procedure, Drug, Drug, Procedure",Sequential Assignment,"Phase 1, Phase 2",Yes,No
P170407J,Efficacy and Tolerance of an Ovarian Stimulation Protocol Combining Follicle Stimulating Hormone (FSH) and Degarelix Acetate in Female Candidates for Fertility Preservation Before Chemotherapy for Breast Cancer,Completed,Interventional,Other,Drug,Single Group Assignment,Phase 2,No,No
QF-SC10914-203,A Phase II Study to Assess the Efficacy and Safety of SC10914 in the Metastatic Breast Cancer Patients,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
D926PC00001,"A Study of Dato-DXd Versus Investigators Choice Chemotherapy in Patients With Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer, Who Are Not Candidates for PD-1/PD-L1 Inhibitor Therapy (TROPION-Breast02)",Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No
IRB00376235,The Effects of Treating Insomnia on Behavioral Weight Loss Outcomes in Survivors of Breast Cancer,Not yet recruiting,Interventional,"Experimental, Placebo Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
HCRN BRE18-360,Study of Stereotactic Radiosurgery With Olaparib Followed by Durvalumab and Physicians Choice Systemic Therapy in Subjects With Breast Cancer Brain Metastases,Recruiting,Interventional,Experimental,"Drug, Radiation, Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",Yes,No
19-1974.cc,Appetite and Exercise in Breast Cancer Survivors,Completed,Interventional,"Other, Other","Behavioral, Behavioral",Crossover Assignment,Not Applicable,No,No
H19-02480,BREast Cancer And Sexuality Treatment,"Active, not recruiting",Interventional,"Active Comparator, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
HS-10342-201,A Study of HS-10342 in Chinese Patients With HR+/HER2- Advanced and/or Metastatic Breast Cancer,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
IRB202000746,"A Dose Finding Phase 1 of Sarilumab Plus Capecitabine in HER2/Neu-Negative Metastatic Breast Cancer and a Single-arm, Historically-controlled Phase 2 Study of Sarilumab Plus Capecitabine in Stage I-III Triple Negative Breast Cancer With High-Risk Residual Disease (EMPOWER)","Active, not recruiting",Interventional,"Experimental, Experimental, Other","Drug, Combination Product, Combination Product",Parallel Assignment,"Phase 1, Phase 2",Yes,No
2020-01-mp-BUS,Multi-parametric Breast Ultrasound Imaging as a Potential Biomarker for Breast Cancer,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
CBCSG041,Patient-Reported Outcome and Safety Between Preoperative and Postmastectomy Radiotherapy in DIEP Flap Reconstruction,Not yet recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Not Applicable,No,No
PILHLE-001,"Phase II Neoadjuvant Pyrotinib Combined With Neoadjuvant Chemotherapy in HER2-low-expressing and HR Positive Early or Locally Advanced Breast Cancer: a Single-arm, Non-randomized, Single-center, Open Label Trial",Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
WEBAPPAC,Impact of Web Application Support Versus Standard Management on Compliance With Adjuvant Hormone Therapy at 18 Months in Patients Treated for Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
21-579,Low-field MRI for Breast Cancer Screening,Not yet recruiting,Interventional,"Active Comparator, Experimental",Device,Parallel Assignment,Not Applicable,No,Yes
A011801,"T-DM1 and Tucatinib Compared With T-DM1 Alone in Preventing Relapses in People With High Risk HER2-Positive Breast Cancer, the CompassHER2 RD Trial",Recruiting,Interventional,"Active Comparator, Experimental","Biological, Drug, Drug, Other, Other",Parallel Assignment,Phase 3,Yes,No
Maple Tree Exercise,Individualized Exercise Oncology Program for Newly Diagnosed Breast Cancer Patients,Unknown status,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
ERC/2019/10/05,Tablet-based Mobile Health Ultrasound for Point-of-care Breast Cancer Diagnosis in Nigeria,Recruiting,Interventional,"Experimental, Experimental","Procedure, Other",Parallel Assignment,Not Applicable,No,No
22145,Effects a Honey Based Syrup on Blood Parameters in Patients With Breast Cancer,Completed,Interventional,"Experimental, Placebo Comparator",Drug,Parallel Assignment,Phase 2,No,No
ICS Maugeri - CE 2202,Standard Silicone-based vs. B-Lite® Light Weight Breast Implant After Total Mastectomy and Radiotherapy for Breast Cancer,Completed,Interventional,"Active Comparator, Experimental","Device, Device",Parallel Assignment,Not Applicable,No,No
TCHP,Neoadjuvant Study of Pyrotinib in Patients With HER2 Positive Breast Cancer,Unknown status,Interventional,"Experimental, Placebo Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Not Applicable,No,No
19-001881,Oxaloacetate for the Improvement of Cognitive Complaints in Stage 0-IIIA Breast Cancer Survivors,Recruiting,Interventional,Experimental,"Drug, Other",Single Group Assignment,Phase 2,Yes,No
STU-2020-1043,Single Cell Immune and Non-immune Correlates of Response to Neoadjuvant Abemaciclib,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
041-2018,Prehabilitation for Women Undergoing Pre-operative Chemotherapy for Breast Cancer,Completed,Interventional,"No Intervention, Experimental",Combination Product,Parallel Assignment,"Phase 2, Phase 3",No,No
RESCREEN,Optimized Rehabilitation Following Primary Breast Cancer Surgery,Recruiting,Interventional,"Experimental, Experimental, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
NCI-2019-00048,"A Study of a New Drug Combination, Copanlisib and Fulvestrant, in Advanced Breast Cancer",Withdrawn,Interventional,Experimental,"Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",Yes,No
IRB-57111,Mental Health Disparities in Spanish Speaking Latina Breast Cancer Patients,"Active, not recruiting",Interventional,"Active Comparator, Placebo Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
2022-0959,Opioid-Sparing Effects of Nurse-Delivered Hypnosis During Breast Cancer Surgery,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental","Behavioral, Behavioral, Behavioral",Single Group Assignment,"Phase 2, Phase 3",No,No
I 60517,Breast Cancer Pathways Program Impact on Patient Shared Decision Making and Experience in Academic and Community Practice,Completed,Interventional,"Active Comparator, Experimental","Other, Other, Other, Other",Parallel Assignment,Not Applicable,No,No
OSU-21185,Health Coaching-Based Navigation at the Conclusion of Treatment for the Support of Black Breast Cancer Survivors,Recruiting,Interventional,Experimental,"Behavioral, Other, Other",Single Group Assignment,Not Applicable,No,No
A221803,Testing the Application of Mepitel Film During Radiation Therapy to Reduce Radiation Related Redness and Peeling in Breast Cancer Patients Following Mastectomy,Recruiting,Interventional,"Active Comparator, Experimental","Other, Device, Other, Other",Parallel Assignment,Phase 3,No,Yes
IndonesiaU2022,The Role of Simvastatin in The Epithelial-Mesenchymal Transition Process of Breast Cancer,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No
STUDY00003100,Pharmacokinetics and Pharmacogenomics of Ribociclib in Race-based Cohorts,Recruiting,Interventional,"Active Comparator, Active Comparator",Drug,Parallel Assignment,Phase 4,Yes,No
FM-17-B01,Neoadjuvant Treatment of HER2 Positive Early High-risk and Locally Advanced Breast Cancer,"Active, not recruiting",Interventional,"Active Comparator, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Procedure",Parallel Assignment,Phase 3,No,No
STUDY00007842,Music as a Perioperative Therapy in Breast Cancer Patients,Withdrawn,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
STUDY00001007,Peer Support For Young Adult Women With High Breast Cancer Risk,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
20-133,A Study of PRP Treatment for Hair Loss After Cancer Therapy in Women With Breast Cancer,"Active, not recruiting",Interventional,Experimental,Procedure,Single Group Assignment,Early Phase 1,No,No
H19094,Effects of a Traditional Chinese Exercise Program on Symptom Cluster in Breast Cancer Patients,Completed,Interventional,"Other, Experimental","Other, Behavioral",Parallel Assignment,Not Applicable,No,No
16-185671,Integrative Approaches to Cancer Survivorship: Project 3,Completed,Interventional,"Experimental, Experimental","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
M18BEL,Pre-operative Trial for Breast Cancer With Nivolumab in Combination With Novel IO,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug",Sequential Assignment,Phase 2,No,No
"UPCC# 15122, IRB # 852205",CAR T Cells in Mesothelin-Expressing Breast Cancer,Recruiting,Interventional,"Experimental, Experimental","Drug, Device",Sequential Assignment,Phase 1,Yes,Yes
HCC 20-243,Apollo Device for Metastatic Breast Cancer (MBC),Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
Alaa_Negm_MSc_2023,"Effect of Kinesiotaping Augmented By Resistive Exercise on Fatigue, Physical Strength, Quality of Life in Breast Cancer Survivors",Not yet recruiting,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
