ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
GB491-004,GB491 Combined With Fulvestrant for HR+ HER2- Locally Advanced or Metastatic Breast Cancer,873 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,270
MORE-T trial,Higher Dose Preoperative taMOxifen in Premenopausal bREast Cancer Patients,2628 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Diagnostic Test, Procedure",Parallel Assignment,Phase 2,No,No,238
IJB-LOB-2019,Neoadjuvant Study of Targeting ROS1 in Combination With Endocrine Therapy in Invasive Lobular Carcinoma of the Breast (ROSALINE),1264 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,65
MS200647_0020,Bintrafusp Alfa in High Mobility Group AT-Hook 2 (HMGA2) Expressing Triple Negative Breast Cancer,634 days,Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,11
262840,CIPN in Early Stage Breast Cancer Patients,585 days,Recruiting,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,48
U025,Molecular Profile of Breast Cancer in Ugandan Patients With Stage IIB-III Breast Cancer,1428 days,Completed,Interventional,Experimental,"Drug, Drug, Drug, Procedure",Single Group Assignment,Phase 1,Yes,No,100
Soh-Med-21_10_18,One Week Adjuvant Radiotherapy for Breast Cancer,730 days,Recruiting,Interventional,"Active Comparator, Experimental","Radiation, Radiation",Parallel Assignment,Not Applicable,No,No,100
SPH4336-301,Phase II/III Study of SPH4336 Combined With Letrozole vs Placebo Combined With Letrozole in First-line Treatment of Breast Cancer,596 days,Not yet recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,"Phase 2, Phase 3",No,No,374
HCB/2019/0786,Sexual and Vaginal Health in Breast Cancer Women Receiving Aromatase Inhibitors Before and After CO2 Laser Therapy,669 days,"Active, not recruiting",Interventional,"Sham Comparator, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No,84
2019-185-AGH,Evaluation of Mepitel Film® in Preventing Epidermitis in Patients Receiving Radiation Therapy for Breast Cancer,1416 days,Recruiting,Interventional,"Active Comparator, Active Comparator",Device,Parallel Assignment,Phase 2,No,Yes,40
EC2019/0127,Hyperventilation and Oxygenation to Prolong Breath Hold in Breast Cancer Irradiation Treatment,710 days,Completed,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Device,Parallel Assignment,Not Applicable,No,No,40
REaCT-OGF,Evaluating Omission of Granulocyte Colony-stimulating Factors in Breast Cancer Patients Receiving Paclitaxel Portion of Dose-dense Adriamycin-cyclophosphamide and Paclitaxel Chemotherapy,914 days,Not yet recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 4,No,No,240
NCI-2021-08921,Metformin and Nightly Fasting in Women With Early Breast Cancer,670 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Procedure, Drug, Other, Other, Other",Parallel Assignment,Phase 2,Yes,No,120
AIs with chemotherapy in MBC,Letrozole Plus Metronomic Capecitabine as First-line Treatment for Patients With Recurrent or Metastatic Breast Cancer,640 days,Not yet recruiting,Interventional,,Drug,Single Group Assignment,Phase 2,No,No,70
CTRIAL-IE 22-01,Neoadjuvant Trastuzumab Deruxtecan (T-DXd) With Response-directed Definitive Therapy in Early Stage HER2-positive Breast Cancer (SHAMROCK Study),1827 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,80
SIBP-01-3,A Study Of SIBP-01 Or CN-Trastuzumab Plus Docetaxel And Carboplatin In HER2 Positive Breast Cancer,761 days,Unknown status,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No,580
20-068,MARGetuximab Or Trastuzumab (MARGOT),2544 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,171
19-002448,Interactive Care Plan for the Monitoring of Symptoms and Recovery in Patients With Stage 0-III Breast Cancer,1192 days,"Active, not recruiting",Interventional,Experimental,"Other, Other, Other",Single Group Assignment,Phase 1,No,No,100
UC Laser,Fractional CO2 Laser Therapy Versus 4% Topical Lidocaine Gel for Dyspareunia in Breast Cancer Survivors,1534 days,Recruiting,Interventional,"Active Comparator, Active Comparator","Drug, Device",Parallel Assignment,Not Applicable,No,Yes,70
TEMPLATE,Tislelizumab in Combination With Eribulin for Patients With Metastatic Previously heaviLy-treAted TriplE-negative Breast Cancer：A Prospective Multiple-center Phase II Study,735 days,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No,265
CO42867,A Study Evaluating the Efficacy and Safety of Multiple Treatment Combinations in Participants With Breast Cancer,1959 days,Recruiting,Interventional,"Active Comparator, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Active Comparator, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No,510
GBG 93,"A Randomized, Open-label, Multi-center Phase IV Study Evaluating Palbociclib Plus Endocrine Treatment Versus a Chemotherapy-based Treatment Strategy in Patients With Hormone Receptor Positive / HER2 Negative Breast Cancer in a Real World Setting (GBG 93 - PADMA Study).",1856 days,Recruiting,Interventional,"Experimental, Active Comparator",Drug,Parallel Assignment,Phase 4,No,No,150
2022-0500,Neoadjuvant Dalpiciclib Plus Aromatase Inhibitors or Chemotherapy in Luminal B/HER2-negative Breast Cancer (DAPATH),1126 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No,120
IJB-LBC-NEOCHECKRAY-2018,"Neo-adjuvant Chemotherapy Combined With Stereotactic Body Radiotherapy to the Primary Tumour +/- Durvalumab, +/- Oleclumab in Luminal B Breast Cancer:",2262 days,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Radiation, Drug",Parallel Assignment,Phase 2,No,No,147
HR-MBC-HN001,A Study of Pyrotinib Plus Capecitabine in Patients With Brain Metastases From HER2-positive Metastatic Breast Cancer,1501 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,78
MCC-19803,Aromatase Inhibitor and Durvalumab in Postmenopausal Breast Cancer,621 days,Terminated,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,Phase 2,Yes,No,17
20-130,Exercise Therapy to Improve Cardiovascular Health in Post-Menopausal Women After Treatment for Early Stage Breast Cancer,1727 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Active Comparator","Other, Other, Other, Other",Parallel Assignment,Not Applicable,No,No,152
BG01-2001,PK and Drug Interaction Study of Utidelone Plus Capecitabine in Patients With Advanced Breast Cancer,127 days,Completed,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 1,No,No,16
ROGABREAST,"Rogaratinib, Palbociclib y Fulvestrant in Patients With Breast Cancer.",860 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,9
18291,A Study of LY3484356 in Chinese Participants With Advanced Breast Cancer,844 days,Recruiting,Interventional,"Experimental, Experimental",Drug,Parallel Assignment,Phase 1,No,No,24
SYSU-2021-UCAN,Utidelone Plus Capecitabine Versus Taxane Plus Capecitabine in HER2-negative Locally Advanced or Metastatic Breast Cancer,2922 days,Not yet recruiting,Interventional,"Active Comparator, Experimental, Active Comparator, Experimental","Drug, Drug, Drug, Drug",Factorial Assignment,Phase 3,No,No,512
18040334,Simvastatin Effect in Combination With Neoadjuvant Chemotherapy to Clinical Response and Tumor-Free Margin in Locally Advanced Breast Cancer,598 days,Completed,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No,60
Labra-001,Photobiomodulation Therapy for the Prevention of Acute Radiodermatitis in Breast Cancer Patients Undergoing Radiotherapy,335 days,Completed,Interventional,"Sham Comparator, Experimental","Device, Device",Parallel Assignment,Not Applicable,No,No,71
M19-992,"A Study to Evaluate the Safety and Tolerability of Venetoclax Tablets in Combination With Capecitabine Tablets in Adult Participants With Hormone Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer Who Had Disease Progression During or After CDK4/6 Inhibitor Therapy",140 days,Terminated,Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,Yes,No,4
2021-1122,"AC vs TC in Patients With HR-positive, HER2-negative Early Breast Cancer",974 days,Recruiting,Interventional,"Active Comparator, Active Comparator",Drug,Parallel Assignment,Phase 4,No,No,402
SYSKY-2022-105-01,Mecapegfilgrastim for the Prevention of Dalpiciclib -Induced Neutropenia in Advanced Breast Cancer,853 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 2,No,No,132
CS2-19004,Chemotherapy - Induced Peripheral Neuropathy,380 days,Completed,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,22
I2I1,Connecting Breast Cancer Survivors for Exercise,265 days,Completed,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,108
2019-01-064,TAHP for Patients With HER2-positive Early Breast Cancer and Subsequent AHP Adjuvant tHerapy After Surgery,1253 days,Unknown status,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",No,No,67
SHR-A1811-206,A Phase Ⅰb/Ⅱ Clinical Study of SHR-A1811 Combined With Other Therapies in Patients With HER2 Low Advanced or Metastatic Breast Cancer.,698 days,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",No,No,300
FOENIX-MBC2 TAS-120-201,A Study of TAS-120 in Patients With Metastatic Breast Cancer,1400 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,Yes,No,168
IRB18-1178,Assessing the Response Rate of Neo-adjuvant Taxotere and Trastuzumab in Nigerian Women With Breast Cancer,1598 days,Recruiting,Interventional,"Experimental, Other, Other, Other, Other","Drug, Drug, Drug, Drug, Drug, Drug",Sequential Assignment,Phase 2,Yes,No,60
ML43171,"A Study Evaluating the Efficacy and Safety of Giredestrant Plus Everolimus Compared With The Physicians Choice of Endocrine Therapy Plus Everolimus in Participants With Estrogen Receptor-Positive, HER2-Negative, Locally Advanced or Metastatic Breast Cancer (evERA Breast Cancer)",1336 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,320
UC-BCG-2011,Treatment With Tucatinib in Patients With an Isolated Brain Progression of a Metastatic Breast Cancer,1291 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No,55
CSIIT-C41,Combination of Chidamide and Fulvestrant for HR+/HER2- Breast Cancer That Has Failed Previous CDK4/6 i Adjuvant Therapy,550 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,23
MO43110,A Study to Evaluate Patient Preference for Home Administration of Fixed-Dose Combination of Pertuzumab and Trastuzumab for Subcutaneous Administration in Participants With Early or Locally Advanced/Inflammatory HER2-Positive Breast Cancer,1178 days,Recruiting,Interventional,"Other, Other, Experimental, Experimental, Other","Drug, Drug, Drug, Drug, Drug, Procedure, Radiation",Parallel Assignment,Phase 3,Yes,No,330
SHR-1210-III-327,A Study of Camrelizumab in Combination With Chemotherapy Regimen Comparative Chemotherapy Regimen for Metastatic Triple-negative Breast Cancer,516 days,Not yet recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 3,No,No,104
EOC202A2102,"HR Positive, HER2 Negative Advanced Breast Cancer With Progression After Endocrine Therapy",1126 days,Not yet recruiting,Interventional,"Active Comparator, Active Comparator","Biological, Drug",Parallel Assignment,Phase 2,No,No,50
IEO 675,Pembrolizumab and Oral Metronomic Cyclophosphamide in Patients With Chest Wall Breast Cancer,518 days,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,46
MP-05-2021-2605,Targeted Axillary Dissection (TAD) in Early-stage Node Positive Breast Cancer,673 days,Recruiting,Interventional,Experimental,"Procedure, Diagnostic Test",Single Group Assignment,Not Applicable,No,No,98
7339-009,Study of Olaparib Plus Pembrolizumab Versus Chemotherapy Plus Pembrolizumab After Induction With First-Line Chemotherapy Plus Pembrolizumab in Triple Negative Breast Cancer (TNBC) (MK-7339-009/KEYLYNK-009),2230 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Biological, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,460
MC1831,"Estradiol in Treating Patients With ER Beta Positive, Triple Negative Locally Advanced or Metastatic Breast Cancer",1707 days,Recruiting,Interventional,Experimental,"Procedure, Procedure, Procedure, Procedure, Biological",Single Group Assignment,Phase 2,Yes,No,38
D933LC00001,A Study of Novel Anti-cancer Agents in Patients With Metastatic Triple Negative Breast Cancer,1652 days,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No,210
MA-BC-II-042,Fluzoparib in Combination With or Without Camrelizumab for Homologous Recombinant Deficiency (HRD) HER2 Negative Advanced Breast Cancer,1499 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,No,No,80
2020-1190,Mobile-Health Delivery of Lifestyle Interventions for Women With Breast Cancer,923 days,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Other, Device, Behavioral, Other, Other",Single Group Assignment,Not Applicable,No,No,30
HRS8807-I-101,"A Phase 1 Study of HRS8807 Monotherapy and in Combination With SHR6390 in Subjects With ER-Positive, HER2-Negative Metastatic or Locally Advanced Breast Cancer",1162 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Device, Drug",Single Group Assignment,Phase 1,No,No,90
2019-00673; sp19Kurzeder,Digoxin Induced Dissolution of CTC Clusters,693 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Early Phase 1,No,No,9
BreCLIM-2018-116-31M,BreCLIM-2 - A RCT Investigating Local Treatment for Breast Cancer Liver Metastases,3652 days,Recruiting,Interventional,"Experimental, Active Comparator","Procedure, Drug",Parallel Assignment,Phase 3,No,No,200
TQ-B3525-I-02,"A Study of TQ-B3525 Tablets Combined With Fulvestrant Injection in Subjects With HR-positive, HER2-negative and PIK3CA Mutation Advanced Breast Cancer",427 days,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",No,No,42
HKUCTR-2709,Use of Superparamagnetic Iron Oxide (SPIO) in Sentinel Lymph Node Detection for Breast Cancer,2168 days,Recruiting,Interventional,"Experimental, Active Comparator",Procedure,Parallel Assignment,Not Applicable,No,No,300
MUKDEN5,Chidamide Combined With Exemestane (+/- Goserelin) Versus Neoadjuvant Chemotherapy in Patients of Stage II-III HR-positive/HER2-negative Breast Cancer,1071 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,"Phase 2, Phase 3",No,No,130
Prevention of neuropathy,Photobiomodulation for Prevention of Chemotherapy-induced Peripheral Neuropathy in Women With Breast Cancer,720 days,Not yet recruiting,Interventional,"Active Comparator, Active Comparator, Placebo Comparator","Device, Device, Device",Parallel Assignment,Not Applicable,No,No,186
TQB3616-II-01,A Study of TQB3616 Capsules Combined With Fulvestrant Injection in Subjects With Advanced Breast Cancer,726 days,Unknown status,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No,120
s17-00995,MBSR During AI Therapy for Breast Cancer,869 days,Completed,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,23
SHR9549-I-101,SHR9549 in ER Positive HER2 Negative Advanced Breast Cancer,446 days,Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,4
3-2019-0140,Effects of Mediterranean Diet Based Intervention in Breast Cancer Patients,731 days,Unknown status,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,78
IRB00109957,THRIVE Breast Cancer App Study,1323 days,Completed,Interventional,"No Intervention, Active Comparator, Active Comparator","Behavioral, Behavioral",Single Group Assignment,Not Applicable,No,No,313
IRB18-00912,Myofascial Massage for Pain and Immobility Following Breast Cancer Surgery,1547 days,Recruiting,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,202
0392-18-HMO,CO2 Laser Therapy for the Treatment of GSM in Patients With Breast Cancer,1642 days,"Active, not recruiting",Interventional,"Active Comparator, Sham Comparator",Device,Sequential Assignment,Not Applicable,No,No,60
UW19046,FES Imaging to Optimize Tamoxifen for Metastatic Breast Cancer,1137 days,Recruiting,Interventional,Experimental,"Drug, Diagnostic Test",Single Group Assignment,Early Phase 1,Yes,No,12
I 73718,Chemokine Modulation Therapy and Standard Chemotherapy Before Surgery for the Treatment of Early Stage Triple Negative Breast Cancer,1544 days,"Active, not recruiting",Interventional,Experimental,"Drug, Drug, Drug, Drug, Drug, Biological, Drug",Single Group Assignment,Phase 1,Yes,No,9
HCB/2020/0971,Evaluation of the Impact of a Multidimensional ICT Intervention on the Quality of Life of Breast Cancer Survivors,941 days,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,150
FJD-LCO2-19-01,A Laser and Topical Treatment Combination in the Vulvo-vaginal Atrophy Management in Breast Cancer Patients.,1127 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Device, Combination Product",Parallel Assignment,Not Applicable,No,No,98
MC01/05/20; IST-325 (KPT),Selinexor & Talazoparib in Advanced Refractory Solid Tumors; Advanced/Metastatic Triple Negative Breast Cancer (START),1706 days,Recruiting,Interventional,Experimental,"Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",No,No,63
KROG 21-07,Hypo Versus Conventional Fractionation in Reconstructed-Breast Cancer Mastectomy Patients,3927 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Phase 3,No,No,622
22012020,Bubble: A New VR-AI Way of Treatment for Hot Flashes in Women With Breast Cancer,392 days,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,37
2020-1267,Contrast-Enhanced Mammography for Breast Cancer Staging in Patients Referred for a Second Opinion,1383 days,"Active, not recruiting",Interventional,Experimental,"Procedure, Procedure, Other, Drug",Single Group Assignment,Not Applicable,No,Yes,89
HER2BAT,A Study of HER2+ Breast Cancer Patients With Active Brain Metastases Treated With Afatinib & T-DM1 vs. T-DM1 Alone,1421 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No,130
ARIANNA (SOLTI-1502),Targeting the PAM50 Her2-Enriched Phenotype With Enzalutamide in Hormone Receptor-Positive/Her2-Negative Metastatic BC,861 days,Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,34
PROICM 2019-05 MAC,Diet Modification in pAtients With Luminal Early Breast Cancer Candidate for Primary Surgery,1140 days,Recruiting,Interventional,"No Intervention, Experimental, Experimental","Dietary Supplement, Dietary Supplement",Parallel Assignment,Not Applicable,No,No,75
BLI-1401-2-01,"Phase I/II, Evaluate the Safety and Efficacy of BLEX 404 With Docetaxel in Patients With Advanced/Metastatic Triple Negative Breast Cancer.",546 days,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",Yes,No,44
20221120,A Novel Therapy for Breast Cancer Survivors With Genitourinary Syndrome of Menopause,1096 days,Not yet recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 2,Yes,No,20
CLEAR,Local Treatment in ER-positive/HER2-negative Oligo-metastatic Breast Cancer,2556 days,Recruiting,Interventional,Experimental,"Procedure, Radiation, Procedure",Single Group Assignment,Phase 2,No,No,110
2.777.676,Photobiomodulation for Breast Cancer Radiodermatitis,1028 days,Completed,Interventional,"No Intervention, Experimental",Device,Parallel Assignment,"Phase 2, Phase 3",No,No,48
IC 2017-06,Study to Assess the Impact of Personalized Coaching on the Time Period and Quality of Return to Work After Breast Cancer,1278 days,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,200
CO40115,A Study Evaluating the Efficacy and Safety of Multiple Immunotherapy-Based Treatment Combinations in Patients With Metastatic or Inoperable Locally Advanced Triple-Negative Breast Cancer,2223 days,"Active, not recruiting",Interventional,"Active Comparator, Experimental, Experimental, Active Comparator, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No,133
111-009-F,A Study for Optimization of 6% Hydroxyethyl Starch Based Indocyanine Green Near-infrared Fluorescence Navigated Sentinel Lymph Node Biopsy for Breast Cancer Patients,364 days,Recruiting,Interventional,"Experimental, Active Comparator",Procedure,Parallel Assignment,Phase 1,No,No,24
21129002,Topical Menthol Application in Chemotherapy-Related Peripheral Neuropathy in Patients With Breast Cancer,274 days,Completed,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,60
MCC-20915,"Study of HER2 Directed Dendritic Cell (DC1) Vaccine + Weekly Paclitaxel, Trastuzumab & Pertuzumab",1434 days,Recruiting,Interventional,"Experimental, Experimental, Experimental","Biological, Drug, Drug, Drug, Procedure",Sequential Assignment,Phase 2,Yes,No,34
PMCT-IMSLNB-MIT,Internal Mammary Sentinel Lymph Node Biopsy With Modified Injection Technique,914 days,Unknown status,Interventional,Experimental,"Procedure, Procedure",Single Group Assignment,Not Applicable,No,No,350
V2000701,Efficacy & Safety Evaluation of Enobosarm in Combo With Abemaciclib in Treatment of ER+HER2- Metastatic Breast Cancer,659 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No,186
University Brunswick,Physical Activity Levels and Functional Improvement in Breast Cancer Survivors,933 days,Unknown status,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,20
1605576856,Sulfasalazine in Decreasing Opioids Requirements in Breast Cancer Patients,728 days,Recruiting,Interventional,"Placebo Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No,40
3475-B49,Study of Pembrolizumab (MK-3475) Plus Chemotherapy Versus Placebo Plus Chemotherapy for HR+/HER2- Locally Recurrent Inoperable or Metastatic Breast Cancer (MK-3475-B49/KEYNOTE-B49),2590 days,Recruiting,Interventional,"Experimental, Active Comparator","Biological, Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,800
2018-0287,"Aromatase Inhibitor Therapy With or Without Fulvestrant for the Treatment of HR Positive Metastatic Breast Cancer With an ERS1 Activating Mutation, the INTERACT Study",1792 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,124
SABO 21-01,Stereotactic Ablative Radiotherapy for OligoMetastatic Breast Cancer,1929 days,Recruiting,Interventional,"Experimental, No Intervention",Radiation,Parallel Assignment,Not Applicable,No,No,345
UW20037,Onapristone and Fulvestrant for ER+ HER2- Metastatic Breast Cancer After Endocrine Therapy and CDK4/6 Inhibitors (The SMILE Study),1243 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,Yes,No,39
20201101,Neoadjuvant TCHP Versus THP in Patients With HER2-positive Breast Cancer (neoCARHP Study),1461 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,300
ZJCH-CK19B,A Prospective Validation Cohort Study of a Prediction System on nSLN Metastasis in Early Breast Cancer,595 days,Unknown status,Interventional,"No Intervention, Active Comparator",Procedure,Parallel Assignment,Not Applicable,No,No,388
IPI-549-03,Evaluation of IPI-549 Combined With Front-line Treatments in Pts. With Triple-Negative Breast Cancer or Renal Cell Carcinoma (MARIO-3),958 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 2,Yes,No,91
2017-0500,M7824 and Eribulin Mesylate in Treating Patients With Metastatic Triple Negative Breast Cancer,1575 days,Terminated,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,Yes,No,38
APG2575XU103,"A Study to Investigate the Safety, Tolerability, of APG-2575 as a Single Agent or in Combination for Breast Cancer",779 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,65
BLTN-NeoBC1115,Pyrotinib Maleate Tablets Combined With Albumin Paclitaxel and Trastuzumab for Her2-positive Breast Cancer,517 days,Unknown status,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",No,No,20
22-259,A Study on Adding Precisely Targeted Radiation Therapy (Stereotactic Body Radiation Therapy) to the Usual Treatment Approach (Drug Therapy) in People With Breast Cancer,1096 days,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Phase 2,No,Yes,40
UW18099,Real-Time MRI-Guided 3-Fraction Accelerated Partial Breast Irradiation in Early Breast Cancer,3152 days,Recruiting,Interventional,Experimental,Radiation,Single Group Assignment,Phase 2,No,Yes,30
17384,A Study of Abemaciclib (LY2835219) Plus Hormone Therapy in Participants With Early Breast Cancer,1005 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,2450
BL-B01D1-104,A Study of BL-B01D1 in Patients With Unresectable Locally Advanced or Metastatic Breast Cancer and Other Solid Tumors,721 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,36
M21CSM,COntinue the SaMe Systemic Therapy After Local Ablative Therapy for Oligo Progression in Metastatic Breast Cancer - the COSMO Study,6422 days,"Active, not recruiting",Interventional,Other,"Procedure, Radiation, Other",Single Group Assignment,Phase 2,No,No,118
4-2022-0600,Robot-assisted vs. Open Nipple-sparing Mastectomy With Immediate Breast Reconstruction,2800 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,790
22239,Treatment of Frailty With Fisetin (TROFFi) in Breast Cancer Survivors,780 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Procedure, Drug, Drug, Other, Other",Parallel Assignment,Phase 2,Yes,No,88
202107015,"Treatment Monitoring of Patients Receiving CDK 4/6 Inhibitors for Hormone Receptor (HR) Positive, HER2 Negative Metastatic Breast Cancer (MBC) With or Without the Addition of DiviTum® Serum Thymidine Kinase 1 (TK1) Activity Testing",1850 days,Recruiting,Interventional,"Experimental, Experimental, Experimental","Device, Other",Parallel Assignment,Not Applicable,No,Yes,55
20171,Effects of White Button Mushroom on Inflammation in Obese Postmenopausal Women at High Risk of Breast Cancer,868 days,Recruiting,Interventional,Experimental,"Other, Drug",Single Group Assignment,Not Applicable,No,No,26
HS-10352-101,Phase I Study of the HS-10352 in Patients With Advanced Breast Cancer,1087 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,54
NNG17.2,Clinical Trial to Assess Efficacy and Safety of NNG-TMAB (Trastuzumab) on Recurrent or Metastatic Breast Cancer Patients,1113 days,Completed,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No,128
