ID,title,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device
Genetic study and TDM,Genetic Study of CYP2D6 Enzyme and Therapeutic Drug Monitoring of Tamoxifen,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
YDPLD191016-I1-SYSU-001,Biomarkers of Liposomal Doxorubicin Induced Hypersensitivity Reaction in Breast Cancer Patients,Recruiting,Observational,Cohort,1 Week,Probability Sample,No,No
A5481136,Treatment Patterns and Clinical Outcomes Among Patients Receiving Palbociclib Combinations for Hormone Receptor Positive (HR+)/Human Epidermal Growth Factor Receptor 2 Negative (HER2 ) Advanced/Metastatic Breast Cancer in the Arabian Gulf Region,Recruiting,Observational,Cohort,,Probability Sample,,
69HCL16_0536,Facilitate and Sustain Return to Work After Breast Cancer,Recruiting,Observational,Other,,Non-Probability Sample,No,No
IIT-0026,Prognostic Indicators for Radiation-induced Breast Fibrosis,Not yet recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
LCCC2241,Assessing Functional Status Needs Via PRO Measures for Pts With Metastatic Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
YLiu,Targeted Next Generation Sequencing for the Efficacy of Trastuzumab Neoadjuvant Chemotherapy in Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
2018-A02191-54,Needs Assessment After Cancer in Patients Treated for Breast Cancer,Completed,Observational,Cohort,,Probability Sample,No,No
CLEE011ABR02,Ribociclib in Combination With Non-steroidal Aromatase Inhibitors in Patients With Advanced Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,,
D9673R00004,"Estimation of the Prevalence of HER2 Low and Describe the SoC, Treatment Patterns, and Outcome in Real-world Practice Among Unresectable and/or Metastatic Breast Cancer Patients With HER2 Low Status",Completed,Observational,Cohort,,Non-Probability Sample,No,No
SYSEC-KY-KS-2019-099,Association of Survival With Maintenance Therapy in Patients With Metastatic Breast Cancer After First-line Chemotherapy,Completed,Observational,Cohort,,Non-Probability Sample,Yes,No
SYSEC-KY-KS-2019-055-001,MRI Radiomics Assessing Neoadjuvant Chemotherapy in Breast Cancer to Predict Lymph Node Metastasis and Prognosis(RBC-02),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
21-161,A Study of Attention and Memory Processes in Breast Cancer Survivors,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
ONC-010,EndoPredict® Extended Endocrine Trial (EXET),Terminated,Observational,Case-Only,6 Years,Non-Probability Sample,No,No
CLEE011AFR01,Ribociclib Real-world Treatment Patterns and Clinical Outcomes Among Women With HR+/HER2- Advanced or Metastatic Breast Cancer in France,Recruiting,Observational,Cohort,,Non-Probability Sample,,
178-2018,Genomic Markers for Measuring Breast Cancer Response to Neoadjuvant Chemotherapy,Recruiting,Observational,Cohort,5 Years,Probability Sample,No,No
OMC2018/01,Implementing Patients´ Competence in Oral Breast Cancer Therapy,Unknown status,Observational,Cohort,,Non-Probability Sample,,
AB PoC 2021 RUS,Retrospective Comparative in Vitro Case-controlled Study of the Liquid Biopsy Test System in Women With Breast Cancer,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
2019.444,Fibrotic Focus in Breast Cancer,Not yet recruiting,Observational,Case-Only,,Probability Sample,No,No
1107210020,Digital Breast Tomosynthesis (DBT) to Improve Assessment of Resection Margins in Invasive Breast Cancer,Completed,Observational,Other,,Probability Sample,No,No
IRB00048455,Histamine and Bone Pain Association in Participants With Breast Cancer Metastatic in the Bone,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CCR5654,"Biological Characteristics of Older Women (> 70 Years) With ER Positive, HER2 Negative Early Breast Cancer",Enrolling by invitation,Observational,Other,,Non-Probability Sample,No,No
2022-YXZX-YX-08,Ultrasound Radiomics for Predicting Breast Cancer and Axillary Lymph Node Metastasis,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
NCKUH SLNB,The Validation of Sentinel Lymph Node Biopsy After Neo-adjuvant Chemotherapy in Breast Cancer Patients,"Active, not recruiting",Observational,Case-Only,5 Years,Non-Probability Sample,No,No
LB1802,Real World Study of Biosimilar Trastuzumab in Her2 Positive Breast Cancer,Recruiting,Observational,Case-Only,5 Years,Non-Probability Sample,No,No
Geneplus2020BC01,ctDNA Monitoring in Early Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
19-005860,Multiscale Omics for the Development of a Cohort Database and Study Platform in Breast Cancer Survivors,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
2020-010,Identification of Genetic Determinants for Treatment Resistance/Sensitivity and/or Toxicity in Adjuvant Setting for HER2 Positive Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
Contralateral Screening,Screening Contralateral Breast Cancers in Patients With Newly Diagnosed Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2007-206-1145,"Diffusion-Weighted MRI for Diagnosis of Multifocal, Multicentric Breast Cancer",Not yet recruiting,Observational,Cohort,2 Years,Non-Probability Sample,No,No
2019.629,Artificial Intelligence in Mammography-Based Breast Cancer Screening,Recruiting,Observational,Cohort,,Probability Sample,No,No
EORTC-1617-QLG-BCG,Follow-up in Early and Locally Advanced Breast Cancer Patients,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-17,Real-world Study of UTD1 in Chinese Advanced Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Metastatic Breast Cancer,"Τreatment Standards and Outcomes of Patients With ER/PR Positive, HER2-negative Metastatic Breast Cancer",Recruiting,Observational,Cohort,3 Years,Non-Probability Sample,No,No
KCSG BR19-15,T-DM1 in HER2-positive Metastatic/Relapsed Breast Cancer,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No
GE-280-401,Clinical Utility of FES F18 PET/CT in Metastatic Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
CER2021,"Prevalence of Lymphedema in Valle Del Cauca, Colombia.","Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
MD 134/2022,Inflammatory Blood Markers in Breast Cancer Patients Receiving Neoadjuvant Chemotherapy,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
A5481093,A Study to Learn About the Dangers Linked to Myelosuppression (Decreased Bone Marrow Function) in Breast Cancer Patients Treated With the Study Medicine Palbociclib (Pal Bow Sai Klib),Not yet recruiting,Observational,Case-Control,,Probability Sample,,
LUN_DBT_121,"Multi-Reader, Multi-Case, Cross-Over, Retrospective Study to Evaluate Effectiveness of Lunit INSIGHT DBT",Recruiting,Observational,Cohort,,Probability Sample,No,Yes
2019/00283,A Pilot Tele-rehabilitation Trial for Breast Cancer Survivors,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
GO 22/41,Reliability and Validity of The 6 Minute Pegboard and Ring Test in Patients With Breast Cancer,Completed,Observational,Other,,Probability Sample,No,No
07068-02,Oxygen Partial Pressure After Breast Cancer Surgery,Recruiting,Observational,Cohort,1 Day,Probability Sample,No,No
YOUNGBC-16,MammaPrint Value for Pre-menopausal Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
99mTc-DARPinG3 breast cancer,99mTc-DARPinG3 SPECT/CT for Non-invasive HER2-AX in Breast Cancer With Metastatic Lymph Nodes Before Targeted Therapy,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-24,Real-world Effectiveness and Safety Study of T-Dxd in Chinese Metastatic Breast Cancer,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-6,Real World Study of Lapatinib Among Metastatic Breast Cancer Patients,Completed,Observational,Cohort,,Non-Probability Sample,No,No
PI20/596,"Long-term Outcomes After Breast Cancer Liver Metastasis Surgery: an European, Retrospective, Snapshot Study",Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
SCBCG-022,A Prospective Observational Study About Adjuvant or Neoadjuvant Chemotherapy Related Adverse Effects in Postmenopausal Breast Cancer Patients,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
HERMIONE-10,Eribulin as a Second-line Treatment in Triple-negative Advanced Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
B00157,A Pilot Study of Ultrasound-guided Vacuum-assisted Excision of Breast Cancers,Completed,Observational,Cohort,,Probability Sample,No,No
A5481166,Study to Evaluate Real-world Effectiveness With Palbociclib Plus Endocrine Therapy as First-line/Second-line Treatment for HR+/HER2- Advanced Breast Cancer in Japan,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,,
D081CC00012,LYNPARZA Breast Cancer in the Adjuvant Setting Japan Post-Marketing Surveillance (PMS),Recruiting,Observational,Cohort,,Non-Probability Sample,,
Luminal A sirt1,Role of SIRT1 in Regulation of Epithelial-to-mesenchymal Transition in Breast Cancer Lymph Nodes Metastasis,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
DokuzEU.Com.Garments,COMPRESSION GARMENTS in BREAST CANCER-RELATED LYMPHEDEMA,Completed,Observational,Other,,Non-Probability Sample,No,No
MC200302,"Impact of Neoadjuvant Chemotherapy on the Peripheral Blood Immune Phenotype in Operable Breast Cancer, the ENHANCE Study",Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
A5481154,Study to Evaluate Overall Survival in Japanese Patients With HR+/HER2- Advanced Breast Cancer Treated With Palbociclib Plus Letrozole,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
22-002857,"Assessment of the Safety, Ultrasound Conspicuity, and Migration of Twinkling Markers in Patients With Locally Advanced Breast Cancer Undergoing Neoadjuvant Systemic Therapy and Surgery, UTMOST Trial",Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,Yes
IFOM-CPO007/2019/PO006,A Master Protocol Empowering Mechanobiology Translation Research in Breast Cancer,Recruiting,Observational,Other,,Non-Probability Sample,No,No
S-detect 2019,Application of Deep-learning and Ultrasound Elastography in Opportunistic Screening of Breast Cancer,Completed,Observational,Cohort,,Probability Sample,No,No
AABCSR,Stress Reactivity Among African American Breast Cancer Survivors,Completed,Observational,Cohort,,Non-Probability Sample,No,No
FMSU2017-002B,Fujifilm DBT Plus S-View Versus FFDM Alone in the Detection of Breast Cancer - A Pivotal Study,Completed,Observational,Case-Crossover,,Probability Sample,No,Yes
2022-0651,The C-MERIT Screening Cohort: Contrast-enhanced Mammography for Breast Cancer Screening and Risk Assessment in Women With Dense Breasts,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
YOUNGBC-10,Pyrotinib Plus Vinorelbine in HER2+ Metastatic Breast Cancer Patients,Completed,Observational,Cohort,,Non-Probability Sample,No,No
20-1434.cc,Cancer Patient Perspectives During COVID-19,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
CSPC-KAL-AE-01,Real-world Study for the Safety of Albumin-Bound Paclitaxel in Recurrent or Metastatic Breast Cancer,Unknown status,Observational,Other,,Non-Probability Sample,No,No
SCBCG-021,A Prospective Observational Study About Adjuvant or Neoadjuvant Chemotherapy Related Adverse Effects in Premenopausal Breast Cancer Patients,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
CLIN-52014-452,Study of Quality of Life and Hormone Levels in Premenopausal Participants With Early Breast Cancer Receiving Triptorelin Plus Additional Cancer Treatment,Recruiting,Observational,Cohort,,Probability Sample,No,No
201805027RSA,East Asian Breast Cancer Genome Atlas and Recurrence Risk Prediction,Recruiting,Observational,Case-Only,,Probability Sample,No,No
KY2022-097-B,CDK4/6 Inhibitors in Patients With Hormone Receptor-positive Advanced Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
Radiodermatitistalita60,The Use of Photobiomodulation in the Management of Radiodermatitis in Breast Cancer Patients,Not yet recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
MEDOPP367,Real-World Data of Clinicopathological Characteristics and Management of Breast Cancer Patients According to HER2 Status,Recruiting,Observational,Cohort,,Probability Sample,No,No
YXH2022ZX02167,Neoadjuvant Effect of Albumin Binding Paclitaxel Compared With Common Paclitaxel in Breast Cancer：an Observational Single Center Study of Clinical Efficacy in Adjuvant Chemotherapy,Recruiting,Observational,Case-Control,,Non-Probability Sample,Yes,No
21-06023682,"De-convoluting Interactions Between Genes, the Cancer Environment, and the Immune System to Develop Therapies That Work for You",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PUMCH-BC500,Evaluation of Prognostic Monitoring for Women Who Have Completed Standard Treatment for Breast Cancer,Recruiting,Observational,Cohort,3 Months,Non-Probability Sample,No,No
S2020-300-01,Sonazoid Contrast-enhanced Ultrasound in Assessing Effectiveness of Neoadjuvant Chemotherapy in Breast Cancer Patients.,Unknown status,Observational,Other,,Probability Sample,No,No
99mTc-DARPinG3,99mTc-DARPinG3-based HER2 Expression Molecular Imaging in HER2-positive Breast Cancer During Chemo+Targeted Therapy,Completed,Observational,Cohort,,Non-Probability Sample,No,No
Soh-Med-22-05-24,Dosimetric Comparison of Three Radiation Techniques for Hypofractionated Whole Breast Radiotherapy in Early Breast Cancer,Not yet recruiting,Observational,Other,,Probability Sample,No,No
SYSEC-KY-KS-2019-054-001,Deep Learning Algorithms for Prediction of Lymph Node Metastasis and Prognosis in Breast Cancer MRI Radiomics (RBC-01),Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
RTM 2015,Microwave Radiometry for the Diagnosis and Monitoring of Breast Cancer,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No
Breast-Chi-2022,Outcome of Tucidinostat-Based Therapy in HR+ Metastatic Breast Cancer Patients Previously Treated With CDK4/6 Inhibitor,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
38RC19.362,Feasibility Study on the Characterization of the Immune Profile of Young Patients After Treatment for Breast Cancer,Unknown status,Observational,Other,,Non-Probability Sample,No,No
CTFSp161,Personalised Disease Monitoring in Metastatic Breast Cancer,Recruiting,Observational,Other,,Non-Probability Sample,No,No
US-MAM,The Diagnosis and Prognosis of Nonpalpable Breast Cancer Detected by the US vs Mammography: a Clinical Noninferiority Trial.,Recruiting,Observational,Cohort,,Probability Sample,No,Yes
P0268,Prospective Validation of 3D Dose Metrics as Selection Criteria for Adaptive Radiotherapy in Breast Cancer Patients,Completed,Observational,Cohort,,Non-Probability Sample,No,No
PUMCH-BC503,Evaluation of Prognostic Monitoring for Young Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
TIPN in China,Taxane Induced Peripheral Neuropathy in Chinese Patients With Breast Cancer,Unknown status,Observational,Case-Control,,Non-Probability Sample,No,No
ShandongCHI-08,Potential of Circulating Tumor DNA to Assess the Tumor Response to Neoadjuvant Chemotherapy in Breast Cancer Patients,Unknown status,Observational,Cohort,5 Years,Non-Probability Sample,No,No
AI-BMRI-S,Artificial Intelligence Analysis for Magnetic Resonance Imaging in Screening and Diagnosis of Breast Cancer,Recruiting,Observational,Cohort,6 Months,Non-Probability Sample,No,No
JTU-6H-20211230001,Effect of the Axillary Lymphatic /Vein Reflux Ratio on Postoperative Upper Limb Edema and Dysfunction in Breast Cancer,Recruiting,Observational,Cohort,1 Year,Probability Sample,No,No
SHEPHERD-2021-2,Lesion Composition and Quantitative Imaging Analysis on Breast Cancer Diagnosis,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
A5481168,Outcomes Among Patients in Brazil Receiving Palbociclib Combinations for HR+/HER2- MBC,Recruiting,Observational,Cohort,,Non-Probability Sample,,
05022020,FALSE POSITIVE FINDINGS IN BREAST CANCER TOMOSYNTHESIS,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
2021C0102,"Remote Assessment of Cognition, Insulin Resistance and Omega-3 Fatty Acid Biomarkers in Breast Cancer Survivors",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CTO-IUSCCC-0758,Breast Cancer BRCA1 Carriers: a Pilot Study,Withdrawn,Observational,Case-Crossover,,Non-Probability Sample,Yes,No
SELEBREC,Selenoproteins as Prognostic Markers and Therapeutic Targets in Breast Cancer.,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
NOGGO B3,Reaching for Evidence-baSed Chemotherapy Use in Endocrine Sensitive Breast Cancer,"Active, not recruiting",Observational,Case-Only,10 Years,Non-Probability Sample,No,No
AI-Breast-US,"Using Deep Learning Methods to Analyze Automated Breast Ultrasound and Hand-held Ultrasound Images, to Establish a Diagnosis, Therapy Assessment and Prognosis Prediction Model of Breast Cancer.",Recruiting,Observational,Other,,Probability Sample,No,Yes
18-195,Screening For BCRL In Targeted Therapy For Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
2021-0532,Circulating Tumor DNA Monitoring in Breast Cancer Undergoing Neoadjuvant Therapy,Recruiting,Observational,Cohort,,Probability Sample,No,No
Version 1.0_16.08.2021,TAD in Primary Breast Cancer With Initially ≥ 3 Suspicious Lymph Nodes,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
82071993,Assessment of Brain Cognitive Impairment in Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
2019-A02397-50,Comparison of Changes in the Quality of Life of Patients Operated on Breast Cancer at the Drôme Ardèche Breast Institute According to Access to Supportive Oncological Care (IDSein),Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
YBCSG-22-08,Incidence and Prognostic Significance of HER-2 Status Discordance Between Primary Breast Cancer and Paired Recurrent/Metastatic Lesions,Completed,Observational,Cohort,,Probability Sample,No,No
RSINETE,RWS of Inetetamab HER2 Positive Advanced Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
18-240,"Assessment of Sensory Gating, Attention, and Executive Control in Breast Cancer",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2022/0035983,The Unmet Needs and the Workplace Reintegration of Breast Cancer Patients: the NEW-BreCa Project,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
38406,Exercise and Cognitive (Brain) Function in Breast Cancer Patients Getting Chemotherapy After Breast Surgery,Recruiting,Observational,Cohort,3 Months,Probability Sample,No,No
2020/134,Analgesic Efficacy of Erector Spinae Plane Block After Breast Cancer Surgery,Completed,Observational,Cohort,,Probability Sample,No,No
IEO 0834/,CDH1 Germline Mutations in Lobular Breast Cancer,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
D8664R00002,Zoladex® 10.8 BC RWS,Recruiting,Observational,Case-Control,,Probability Sample,No,No
CHD049-17,Pilot Study Describing the Early Evolution of the Sexual Function of Patients Receiving Adjuvant Hormone Therapy for Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
270-2018,Using Clinicopathomic Markers to Predict Neoadjuvant Chemotherapy Response in Breast Cancer,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
soh-Med-21-10-17,Adjuvant Whole Breast Irradiation in Five Fractions Versus Fifteen Fractions in Early Breast Cancer,Recruiting,Observational,Case-Control,,Probability Sample,No,No
HR-BLTN-016,Real World Study of Pyrotinib in Human Epidermal Growth Factor Receptor-2 (HER2) Positive Breast Cancer,Recruiting,Observational,Cohort,2 Years,Non-Probability Sample,No,No
KSVGH20-CT7-26,Influence of Co-Vid 19 Pandemic on Screening Mammography Single Institution,Unknown status,Observational,Cohort,,Probability Sample,No,No
D9673R00005,Study to Describe the Real-world Treatment Patterns and Associated Outcomes in Patients With HER2-positive Unresectable or Metastatic Breast Cancer,Completed,Observational,Other,,Non-Probability Sample,No,No
FDRT-BC015,The Association Between Radiation Dermatitis and Skin Microbiome in Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
REaCT-Algorithm,Evaluating Whether Integration of Prognostic and Predictive Algorithms Into Routine Clinical Practice Effect Whether Oncologists Order Multigene Assays in Patients With Early Stage Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
A5481159,Comparative Real World Tumor Response in Pre-menopausal Metastatic Breast Cancer Patients Treated With Palbociclib + Aromatase Inhibitor or Aromatase Inhibitor Alone,Completed,Observational,Cohort,,Probability Sample,,
SunYatsenU2H-LQ5,Efficacy and Safety of Leuprorelin 3M in Premenopausal Women With Hormone Receptor-positive Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
2021-SR-592,Anlotinib Combined With Chemotherapy for the Treatment of HER2 Negative Advanced Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
PR351/20,TAD After Chemotherapy in Locally Advanced Breast Cancer,Recruiting,Observational,Cohort,3 Years,Probability Sample,No,No
IEO 1730,LobularCard Trial: Searching for Novel Germline Mutations in Lobular Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
GIM23-POSTER,Prospective Observational Study of Adjuvant Hormone Treatment in Estrogen-receptor Positive Premenopausal Early Breast Cancer Patients,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
15.03.2023,Abemaciclib for the Treatment of Luminal Metastatic breAst caNcer in the Real-life Clinical pracTice in Russia.,Completed,Observational,Cohort,,Probability Sample,Yes,No
0000012,"Study of ABCB1,SLC22A16 Drug Transporter Genes and Doxorubicin and Cyclophosphamide Toxicity in Brest Cancer Patient",Unknown status,Observational,Cohort,,Non-Probability Sample,Yes,No
2017-A03413-50,Metastatic Breast Carcinoma and Women Sexual Quality of Life,Completed,Observational,Cohort,,Non-Probability Sample,No,No
2021-0491,Neutrophil Extracellular Traps Formation in Breast Cancer Patients Taking Tamoxifen,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
2021-A02007-34,"Safety, Effectiveness and Quality of Life of Trastuzumab Deruxtecan in Patients With HER2+ Breast Cancer","Active, not recruiting",Observational,Cohort,2 Years,Probability Sample,No,No
GIM26-TRASTHER,Observational Study of Effectiveness and Safety of Trastuzumab Emtansine (T-DM1) in HER2-positive Breast Cancer Patients With Residual Invasive Disease Following Neoadjuvant Chemotherapy and Anti-HER2 Target Therapy,Recruiting,Observational,Other,,Non-Probability Sample,No,No
NCR191600,Bisphenol and Phthalate Exposures in Triple Negative Breast Cancer,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No
214-2018,Radiomic Markers for Breast Cancer Metastasis and Treatment Response Using MRI,Completed,Observational,Cohort,5 Years,Probability Sample,No,No
BAC,Satisfaction Survey for the Outpatient Unit Dedicated to Post-cancer Treatment,Completed,Observational,Cohort,,Non-Probability Sample,No,No
A5481123,RW Treatment Patterns and Outcomes in Postmenopausal HR+/HER2- mBC Patients Treated With Palbociclib Plus Letrozole as Initial Endocrine Therapy at Community Oncology Practices in the U.S.,Completed,Observational,Cohort,,Non-Probability Sample,,
EH20-251,Advanced Diffusion Tensor MRI for Breast Cancer,Recruiting,Observational,Other,,Non-Probability Sample,No,Yes
A5481095,TREATMENT AND MONITORING PATTERNS AND CLINICAL OUTCOMES IN PATIENTS RECEIVING PALBOCICLIB COMBINATION TREATMENT (WITH AI OR FULVESTRANT) FOR HR+/HER2- A/MBC IN A COMMUNITY ONCOLOGY SETTING.,Completed,Observational,Cohort,,Non-Probability Sample,,
Bioscore in breast cancer,Prognostic Significance of Bioscore in Nonmetastatic Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
275142,An EORTC Study Updating the QLQ-BR23 to BR45,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2022-A01192-41,SexoMBC2 Non Interventional Study,Recruiting,Observational,Other,6 Months,Non-Probability Sample,No,No
Cardiotoxicity study,Risk Assessment Model of Trastuzumab-related Cardiotoxicity in Breast Cancer Patients,Unknown status,Observational,Case-Control,,Non-Probability Sample,No,No
KN026-205,Study of KN026 in Combination With Palbociclib and Fulvestrant in Patients With Advanced Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
2021P002943,Evaluating Scaleup of an Adapted Breast Cancer Early Diagnosis Program in Rwanda,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2022-09/2057,The Effect of Premedication on Postoperative Pain and Anxiety in Breast Cancer Surgery,Recruiting,Observational,Cohort,,Probability Sample,No,No
CBYL719CIN02,Study of PIK3CA Mutations and Effectiveness and Tolerability Outcomes of Alpelisib in Real-world,Recruiting,Observational,Cohort,,Non-Probability Sample,,
CBYL719C2404,"A NIS of Alpelisib in Combination With Fulvestrant in Postmenopausal Women, and Men, With HR+,HER2- , Locally Advanced or Metastatic Breast Cancer With a PIK3CA Mutation, After Disease Progression Following Endocrine Therapy as Monotherapy, in the Real-world Setting",Recruiting,Observational,Cohort,,Non-Probability Sample,,
ZhejiangCH-0709,RecurIndex Predicts Risk of Recurrence in Early-stage Luminal Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
EUBREAST 3,AXillary Surgery After NeoAdjuvant Treatment,Recruiting,Observational,Cohort,5 Years,Probability Sample,No,No
OSU-20380,Development of a Genetic Counseling Patient Preference Intervention for Women at Elevated Risk for Breast Cancer,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
s61033,A Phase IV Study to Collect Data on the Efficacy and Safety of RIBociclib in Older Women With Breastcancer,"Active, not recruiting",Observational,Cohort,,Probability Sample,Yes,No
18/0059,Health Status of Women With Breast Cancer,Unknown status,Observational,Other,,Non-Probability Sample,,
Shengjing-LJY03,CTC Changes and Efficacy of Neoadjuvant Chemotherapy for Triple-negative Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
21/079,Prediction of Individual Radiosensitivity During Radiotherapy for Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
2018-1133,Barriers Associated With Timely Adjuvant Chemotherapy Administration in Patients With Invasive Breast Cancer,"Active, not recruiting",Observational,Case-Only,,Non-Probability Sample,No,No
R018-SABI-00193,Genetic Markers of Circulating Tumor DNA for Monitoring Breast Cancer Patients in Costa Rica,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
Geriatric-CDK4/6,Evaluation of Geriatric Questionnaires to Predict Toxicities of CDK 4/6 Inhibitors in Older Breast Cancer Patients?,Not yet recruiting,Observational,Cohort,6 Months,Non-Probability Sample,Yes,No
Regina Elena,Endometrial Changes in Breast Cancer Women.,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No
Pro00087654,Family History in a Singapore Oncology Population,Completed,Observational,Cohort,,Non-Probability Sample,No,No
IRMA,Impact of Recurrence Score on Adjuvant Treatment Decisions in Breast Cancer Patients,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2020-2-4023,Deep Inspiration Breath-hold Radiotherapy for Left-sided Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
69HCL21_0145,Immediate Breast Reconstructions Increasing,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
UPCC 17119,Cardiotoxicity in Breast Cancer Patients Treated With Proton or Photon Radiotherapy: A RadComp Ancillary Study,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
XJTU1AF-CRF-2018-001,Circulating Tumor DNA as Marker of Therapeutic Efficacy in Breast Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
I 571719,Biomarkers and Clinical Features of Metastatic Breast Cancer in Patients Treated With CDK4/6 Inhibitors,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
1B-21-6,Breast Cancer Survivorship Biorepository,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
AssiutU AAHelmy,Multimodal Ultrasonographic Assessment of Ipsilateral Axillary Lymph Nodes in Patients With Breast Cancer: A STARD Study,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Pro00100408,Evaluation of Endocrine Therapy Effects of Host Immunity in Early Stage Breast Cancer,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Polarhis,Assessment of Lumpectomy Margins With the Histolog Scanner in Comparison With Intraoperative Imaging Techniques,Completed,Observational,Other,,Probability Sample,No,No
