ID,title,actual_duration,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device,enrollment_count
AssiutU AAHelmy,Multimodal Ultrasonographic Assessment of Ipsilateral Axillary Lymph Nodes in Patients With Breast Cancer: A STARD Study,1.084931506849315,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,30
Pro00100408,Evaluation of Endocrine Therapy Effects of Host Immunity in Early Stage Breast Cancer,4.53972602739726,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,110
Polarhis,Assessment of Lumpectomy Margins With the Histolog Scanner in Comparison With Intraoperative Imaging Techniques,1.663013698630137,Completed,Observational,Other,,Probability Sample,No,No,40
32158620.0.0000.0072,Prognostic Value of Circulating Tumor DNA Dosing in Patients in Neoadjuvant Breast Neoplasia,1.5671232876712329,"Active, not recruiting",Observational,Cohort,1 Year,Probability Sample,No,No,38
LightCT-PKUPH,Light-CT in the Diagnosis of Breast Tumor and Lymph Node,5.7534246575342465,Recruiting,Observational,Cohort,,Probability Sample,No,Yes,150
2018-09-20 Version 1.2,Effect of Low Dose Metronomic Chemotherapy in Metastatic Breast Cancer,4.586301369863014,Recruiting,Observational,Cohort,,Probability Sample,Yes,No,40
events in breast cancer,Skeletal Events of Hormonal Treatment and Radiotherapy in Patient With Breast Cacer,0.0,Unknown status,Observational,Cohort,24 Months,Non-Probability Sample,No,No,100
ILLUMINE,Inetetamab Combined With Pyrotinib and Vinorelbine as First-line to Third-line Treatment for HER2-positive Metastatic Breast Cancer,4.249315068493151,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,100
MC220902,Evaluation of Endocrine Therapy-Induced Alopecia Among Postmenopausal and Premenopausal Female Patients With Breast Cancer,1.6383561643835616,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,150
ShengjingH 3,"Sj-subway, a Predictor for the Recurrence of High-risk Hormone Receptor-positive Breast That is Sensitive to Extended Endocrine Therapy",5.454794520547945,Recruiting,Observational,Cohort,10 Years,Probability Sample,No,No,1000
20923,"Impact of Breast Cancer Treatment on Joint Health, Cartilage Composition, and Bone Structure in the Knee and Hand",2.0164383561643837,Terminated,Observational,Cohort,,Non-Probability Sample,No,No,8
SUN-2252,Integrated Patient Avatars for Guiding Systemic Therapy Treatments in Metastatic Breast Cancer Patients,2.3643835616438356,Recruiting,Observational,Cohort,3 Years,Probability Sample,No,No,25
2021-0669,Temporal Immunologic Changes With Hypofractionated Radiation-Induced DNA Damage in Breast Cancer,1.0000000000000002,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,12
A5481122,Real-world Treatment Patterns and Effectiveness of Palbociclib and AI Therapy,3.8520547945205483,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,Yes,No,1
1890-1-2019,Ketotifen: as a Cardioprotective Agent in Breast Cancer Patients Receiving Anthracycline-containing Chemotherapy,0.5780821917808219,Completed,Observational,Other,,Probability Sample,Yes,No,111
IEO 0837/,Patients Preferences for Adjuvant Endocrine Therapy in Early Breast Cancer,3.5753424657534247,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,450
PHDW-006,Psychological Factors and Oncological Outcomes of Triple-negative Breast Cancer,1.0000000000000002,Unknown status,Observational,Cohort,1 Day,Non-Probability Sample,No,No,50
AnhuiPH,A Real-world Clinical Study of Pyrotinib Maleate Tablets in the Treatment of Breast Cancer Patients With Positive Her-2,1.5041095890410958,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No,300
UPCC 11121,"Mechanisms, Predictors, and Social Determinants of Cardiotoxicity in Breast Cancer",17.956164383561642,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
S-64813,"Clinical, Histological and In-depth Molecular Characterization as Well as Experimental Models of Liver Metastasis From Patients With Breast Cancer in Order to Identify New Potential Treatment Avenues.",2.0027397260273974,Not yet recruiting,Observational,Case-Only,2 Years,Non-Probability Sample,No,No,20
2020-0831,Comparing the Performance of Automated Breast Ultrasonography to Hand-Held Whole Breast Ultrasonography in Breast Cancer Treatment Response Assessment,0.0,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No,0
ASSOCIHER,Association Between HER2 Status and pCR Rate in ER-positive Breast Cancer Receiving Neoadjuvant Endocrine or Chemotherapy,0.4191780821917808,Completed,Observational,Cohort,,Non-Probability Sample,No,No,518
VICC BRE 20104,Multiparametric MRI as a Non-Invasive Biomarker of the Tumor Microenviroment,3.315068493150685,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,10
EPTTCSM (239BRC18.0129),Evaluation of Pertuzumab-Trastuzumab and Taxane in the Standard Treatment of Metastatic Breast Cancer,0.4958904109589042,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,63
"CD133, Breast Cancer",CD133 Expression in Mammary Invasive Ductal Carcinoma,0.5863013698630137,Recruiting,Observational,Other,,Non-Probability Sample,No,No,50
2021-40-2343,RWE About QOL and Compliance of Patients With OFS in China,2.4164383561643836,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,500
69HCL19_0593,"PETRA: PErtuzumab and Trastuzumab Biosimilars Real Life Association for the First Line Treatment of HER2-positive Metastatic Breast Cancer, an Observational Prospective Multicenter Study",2.4986301369863013,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
20160504,Impact of Intensive Follow-up for Bone Metastasis on Characteristics and Prognosis of Chinese Breast Cancer Patients,1.082191780821918,Completed,Observational,Cohort,,Probability Sample,No,No,1500
2022/005-OST,Exploratory Evaluation of the Functional/Emotional Life Characteristics During the First Year of Ongoing Endocrine Adjuvant Treatment With Aromatase Inhibitors in Breast Cancer Patients With Reduced Bone Mineral Density,1.473972602739726,Recruiting,Observational,Cohort,1 Year,Non-Probability Sample,No,No,82
YWBC-001,"A Multicenter, Open and Observational Real World Study on the Prognosis and Treatment in Young Women With Breast Cancer",5.0,Recruiting,Observational,Case-Only,5 Years,Probability Sample,No,No,2000
AURORA US,Clinical Information and Biospecimen Collection From Patients With Recurrent or Stage IV Breast Cancer,4.167123287671234,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,200
18HH4880,D4 Choline Breast PET/CT,2.6931506849315068,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,16
IC 2020-15,Study Evaluating Hot Flashes in Hormone Sensitive Breast Cancer,1.052054794520548,Completed,Observational,Cohort,,Non-Probability Sample,No,No,290
PALBO01/2021,Study Of Real-World Evidence In Patients Treated With Palbociclib During a 2.5 Years Follow-Up Period,1.9178082191780825,Recruiting,Observational,Other,,Probability Sample,Yes,No,650
CLEE011AUS65,Description of Treatment Patterns and Description and Comparison of Healthcare Resource Utilization and Costs of Women With Metastatic HR+/HER2- Breast Cancer Treated With CDK4/6 Inhibitors,0.23013698630136986,Completed,Observational,Cohort,,Non-Probability Sample,No,No,4320
IUSCC-0647,Effects of Aromatase Inhibitor Therapy on Muscle Function,1.536986301369863,Completed,Observational,Cohort,,Non-Probability Sample,No,No,16
SL-2020076,Cardiotoxicity of Targeted Therapy for HER-2 Positive Breast Cancer Patients at High Altitude,3.16986301369863,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,132
2022-A00171-42,Support and Post-therapeutic Rehabilitation for Women in Complete Remission of Breast Cancer in a Thermal Environment,4.4301369863013695,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,400
MIMIR-mTNBC,Molecular PD-L1 PET/CT Imaging With 89Zr-atezolizumab in Metastatic Triple Negative Breast Cancer,4.221917808219178,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No,64
LCCC1934,Reverse Axillary Mapping in Breast Radiation Treatment Planning,5.673972602739726,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No,0
2020-12518,Minimal Invasive Axillary Staging and Treatment After Neoadjuvant Systemic Therapy in Node Positive Breast Cancer,6.961643835616439,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,549
UKT HT03_1,Prospective Assessment of Quality of Life in Patients With Locally Recurrent Breast Cancer and Hyperthermic Radiotherapy,6.419178082191781,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,20
2018-01-054,Genetic Characteristics of HER2 Positive Breast Cancer With Neoadjuvant TCHP Chemotherapy,5.504109589041096,"Active, not recruiting",Observational,Case-Only,5 Years,Non-Probability Sample,No,No,50
BRAVE,QOL of Women With HR-Positive Metastatic BC Treated in the First-line Setting: Comparison Between Public and Private Institutions.,1.0438356164383562,Enrolling by invitation,Observational,Other,,Non-Probability Sample,No,No,202
NL76792.091.21,DLSCT for Breast Cancer Detection in Women With Dense Breasts,1.0000000000000002,Recruiting,Observational,Cohort,,Probability Sample,No,No,14
190025,Tissue Acquisition and Genomics Analysis of Breast Cancer and Other Gynecologic Malignancies,1.9835616438356167,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No,500
108818,Early Detection of Cardiac Damage With CMR in Women With Breast Cancer,1.082191780821918,Unknown status,Observational,Cohort,,Probability Sample,No,No,55
A5481151,Real-World Effectiveness of Palbociclib in Combination With an Aromatase Inhibitor,0.0,Completed,Observational,Cohort,,Non-Probability Sample,,,1
D0819C00005,Lynparza Breast Cancer Clinical Experience Investigation,3.610958904109589,Completed,Observational,Cohort,,Non-Probability Sample,,,111
MC220303,Adding a Genetic Risk Evaluation to Standard Breast Cancer Risk Assessment for African American and Hispanic Women,9.849315068493151,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,50
20-009279,Evaluating the Association Between Changes in the Gut Microbiome and Chemotherapy-Induced Nausea in Women Receiving Chemotherapy for Stage I-III Breast Cancer,3.0054794520547947,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,38
KKKR-Neulasta OS-01,An Observational Study to Evaluate the Safety and Efficacy of Pegfilgrastim (Neulasta®),3.4493150684931506,Completed,Observational,Cohort,,Non-Probability Sample,No,No,1300
LCCC1745,"ARFI, VisR and DDAI Ultrasound for Improving Discrimination of Malignant and Unresponsive Breast Cancer",3.1835616438356165,Completed,Observational,Cohort,,Non-Probability Sample,No,Yes,45
Organoids Breast,Developing Breast (Cancer) Organoids,5.668493150684932,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,60
PUMCH-2020-EBC,A Prospective Cohort Study Comparing Disparity in Surgical Procedure (Wide Local Excision Only vs Any Other Surgery Procedures) Among the Elderly Breast Cancer Patients,7.002739726027397,Not yet recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,300
CIH-TZS-20190912,Palbociclib in Combination With Fulvestrant Versus Fulvestrant in Advanced Breast Cancer: A Real-world Study in China,3.7150684931506848,Recruiting,Observational,Case-Control,,Non-Probability Sample,Yes,No,612
ExtremeHypofractionationBreast,Postoperative Radiation of Patients With Breast Cancer in Extreme Hypofractionation.,13.002739726027396,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,100
KutahyaMSUcancer,Clinical Classification of Pain in Breast Cancer Survivors,0.25205479452054796,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,90
POLAR-01,Treatment With Pyrotinib-Based Therapy in Lapatinib Resistant HER2-Positive Metastatic Breast Cancer,2.835616438356164,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,Yes,No,100
NEO-R-IPC 2019-041,Real Time Molecular Analysis of Breast Cancer Receiving Neo-adjuvant Chemotherapy,7.167123287671233,Recruiting,Observational,Cohort,,Probability Sample,No,No,150
09.2018.,Diagnostic Accuracy of Dermal Thickness in Lymphedema,0.22465753424657534,Completed,Observational,Other,,Probability Sample,No,No,43
ZLiu,Radiomics of Mp-MRI Assessing NAC Outcome in Breast Cancer,3.8739726027397263,Unknown status,Observational,Cohort,,Probability Sample,No,No,500
THALIA-01,Tyrosine Kinase Inhibitors (TKIs) in Trastuzumab Emtansine (T-DM1) Resistant HER2-positive Metastatic Breast Cancer: A Real-world Study,3.336986301369863,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,100
C-MOT,Copenhagen Master Observational Trial,2.4164383561643836,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,2400
BC-P32,Development of Multi-specific Antibodies Based on Immune Microenvironment of Breast Cancer,2.0027397260273974,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,60
19-0448,Xoft® Intraoperative Radiotherapy (IORT) for Patients With Early-Stage Breast Cancer,8.005479452054795,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,60
SYSKY-2022-445-01,"Comparative Evaluation of Efficacy and Safety of Toremifene, Tamoxifen, and Aromatase Inhibitor Plus Ovarian Function Suppression in Hormone Receptor-Positive Early Breast Cancer Among Non-Low-Risk Premenopausal Women: A Real-World Study",0.7479452054794521,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,700
CGAprediting,The Value of Geriatric Assessments in Older Patients With Breast Cancer,7.087671232876712,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
CH-BC-086,Comparative Effectiveness of Palbociclib Plus AI Versus Fulvestrant for HR+/HER2- ABC,1.0000000000000002,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,600
IRB00154162,Evaluating the Ability of 99mTc-Tilmanocept to Identify Clipped Nodes in Breast Cancer Patients Undergoing Neoadjuvant Chemotherapy and Sentinel Lymph Node Dissection,1.9260273972602742,Recruiting,Observational,Case-Only,,Non-Probability Sample,Yes,No,92
2020KT151,Trastuzumab(Henlius®) Combined With Pertuzumab(Perjeta®) and Chemotherapy in Chinese Patients With Her2-Positive Metastatic Breast Cancer Previously Treated With Trastuzumab,2.5863013698630137,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,60
NCC3222,Comparative Effectiveness of PAL Based-therapy as Initial ET Versus PAL Based-therapy After ChT for HR+/HER2- ABC,2.5013698630136987,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,400
22-10590-BO,Identification of Novel Inflammation-related Biomarkers for Early Detection of Anthracycline-induced Cardiotoxicity in Breast Cancer Patients,1.6684931506849314,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,180
4-2017-1108,"Cosmetic Outcome, Patient-reported Outcomes, and Reconstruction-related Complications in Breast Cancer Women Treated With or Without Post-mastectomy Radiation Therapy",6.002739726027397,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,500
GATTUM -1,Gated Radiotherapy in Left Sided Breast Cancer Patients,1.5863013698630137,Unknown status,Observational,Cohort,,Probability Sample,,,150
RI-002,Parallel Comparison of 18 Gene Classifiers and Oncotype DX (Nanostring),0.4191780821917808,Completed,Observational,Cohort,,Non-Probability Sample,No,No,138
RECHMPL20_0130,Contraception and Cervical and Breast Cancer Screening in Obese Versus Non-obese Women,1.252054794520548,Completed,Observational,Cohort,,Non-Probability Sample,No,No,439
CBYL719C2005,Survey Among Healthcare Professionals Treating Patients With Metastatic Breast Cancer in Selected European Countries to Evaluate Their Knowledge on Management of Hyperglycemia When Using Alpelisib,1.3342465753424657,Recruiting,Observational,Other,,Non-Probability Sample,,,100
BCIG,Clinical Study of Imaging Genomics Based on Machine Learning for BCIG,3.0794520547945203,Not yet recruiting,Observational,Cohort,5 Years,Probability Sample,No,No,1500
Neo-RT,Neo-RT: A Study Investigating Whether Changing the Sequence of Treatments (Starting Radiotherapy Followed by Hormone Therapy Before Surgery) is Feasible,4.76986301369863,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,43
69HCL21_0552,NEOZOL_Follow-up Study,0.6684931506849315,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No,50
SAHZhejiangU---Breast,Application of Radiomics in Breast Cancer,10.923287671232877,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,2000
PEAR-TNBC_ Protocol_v2.0,Image-based AI Predictive Biomarkers for Precision Neoadjuvant Triple-negative Breast Cancer Treatment,2.5726027397260274,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,60
ML42876,The Efficacy and Safety of Neoadjuvant Trastuzumab Plus Taxane With and Without Pertuzumab Therapy,0.547945205479452,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1500
MHICC-2018-003,"Identification and Evaluation of Patients at Risk of Developing Cardiotoxicity After Receiving Chemotherapy for Breast Cancer, Lymphoma or Leukemia",4.0849315068493155,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,300
IRB00049171,Stress Test in Detecting Heart Damage in Premenopausal Women With Stage I-III Breast Cancer,1.7068493150684931,Completed,Observational,Case-Only,,Non-Probability Sample,No,No,25
2022-0239,Observational of Adjuvant Treatment of Breast Cancer With Liposomal Doxorubicin Regimen,10.427397260273972,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,150
ReMig,Rehabilitation on Equal Terms - The ReMig Study,2.345205479452055,Recruiting,Observational,Cohort,,Probability Sample,No,No,140
EVE-CWM-01,Efficacy of Everolimus-containing Chemotherapy in HER2- mBC Patients With PI3K/AKT/mTOR Mutations Study,0.3315068493150685,Completed,Observational,Case-Only,,Non-Probability Sample,,,14
Exactis-05,RWD Study in HER2+ mBC Patients in Third-Line Therapy,0.6602739726027397,Completed,Observational,Cohort,,Non-Probability Sample,No,No,63
R21052,Factors Influencing Breast Cancer Resection Volumes And Their Impact on Treatment Outcome (FIBRATIO),2.8465753424657536,Recruiting,Observational,Cohort,3 Years,Non-Probability Sample,No,No,250
ERC/2018/06/01,Case Control Study to Identify Modifiable Risk Factors for Colorectal and Breast Cancer in Nigeria,2.9726027397260273,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,800
844978,Abbreviate or FAST Breast MRI for Supplemental Breast Cancer Screening for Black Women at Average Risk and Dense Breasts,3.805479452054795,Recruiting,Observational,Other,,Non-Probability Sample,No,No,500
S2020-300,Prospective Multicenter Study on Clinical Application of Sonazoid in Breast Tumor,1.1287671232876713,Recruiting,Observational,Other,1 Month,Probability Sample,No,No,181
50619,Patient Outcomes From Second Film-readers and Test Threshold Relaxation in Breast Screening,5.249315068493151,Enrolling by invitation,Observational,Cohort,,Probability Sample,No,No,10000000
2019-1237,Precision Performance Status Assessment in Breast Cancer Patients Receiving Neoadjuvant Chemotherapy,4.380821917808219,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,110
ACT-MBC,ACT-MBC: A Study of Circulating Tumor Cells (CTCs) in Metastatic Breast Cancer (MBC),2.0547945205479454,Recruiting,Observational,Case-Only,,Probability Sample,No,Yes,65
LACOG 0122,Radiotherapy With Extreme Hypofractionation in Patients With Breast Cancer in Brazil: a Retrospective Cohort Study,1.16986301369863,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,400
55457122.3.0000.5330,Onco-Genomas Brasil: Mapping Breast and Prostate Cancer in the Brazilian Public Health System,1.1424657534246576,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,550
2020-A02045-34,The E-consult Application for Patients With Breast Cancer: Interest in Empathy and Empowerment of Patients.,1.895890410958904,Completed,Observational,Cohort,,Non-Probability Sample,No,No,206
SMC2018-09-029-003,The Effects of Anesthetics on Persistent Pain Following Breast Cancer Surgery,0.9972602739726029,Completed,Observational,Case-Only,,Non-Probability Sample,No,No,89
2019-1042,Treatment Decision Making in African American Women Diagnosed With Triple Negative Breast Cancer,8.608219178082193,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,62
SAFE-FORWARD,Safety of Ultra-hypofractionated Whole Breast Irradiation After Breast-conserving Surgery,1.0027397260273974,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,60
2018-8984,Low Energy Dissection Vs. Electrocautery in Lumpectomy Shaved Surgical Margins,1.2547945205479452,Unknown status,Observational,Case-Only,,Probability Sample,No,Yes,20
230/HĐĐĐ-ĐHYD,2D Speckle-tracking Echocardiography in Chemotherapy-induced Cardiomyopathy With Cardiovascular Risk Factors,2.789041095890411,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,300
A5481152,First-line Palbociclib and Endocrine Therapy for Patients With HR+/HER2- Advanced Breast Cancer in the Real-world Setting.,7.476712328767123,Recruiting,Observational,Cohort,,Non-Probability Sample,,,1900
ANG-002,Harvest of CTCs From MBC Patients Using the Parsortix™ PC1 System,1.7589041095890412,Completed,Observational,Cohort,,Non-Probability Sample,No,Yes,421
38RC20.120,"Complications After Lumpectomy, Sentinel Node and Radiotherapy in Breast Cancer Patients and Physiotherapy Care",0.6602739726027397,Completed,Observational,Case-Only,1 Day,Non-Probability Sample,No,No,71
D19160,Lumpectomy Specimen Margin Evaluation With Tomography and Structured Light Imaging,2.1068493150684935,Completed,Observational,Cohort,,Non-Probability Sample,No,No,100
IO Panel,Tumor Immune Mechanism of Axillary Lymph Node Metastasis in Early Luminal Type A Breast Cancer,1.6684931506849314,Unknown status,Observational,Case-Control,,Probability Sample,No,No,120
PA18-1077,"Impact of COVID-19 Pandemic on Out-of-Pocket Costs, Lost Wages, and Unemployment in Patients With Breast Cancer Undergoing Breast Surgery",3.8630136986301373,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,600
IRB00076577,Oral Aromatase Inhibitors Modify the Gut Microbiome,1.4273972602739726,Recruiting,Observational,Cohort,,Probability Sample,No,No,25
KEK 2021-D0051,HER2-directed Biosimilar in Breast Cancer: Real World ePRO,1.5424657534246575,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,60
RD19/125787,Guide for Prioritisation of Patients for Referral to Breast Clinics,3.0,Suspended,Observational,Cohort,,Probability Sample,No,No,4000
YOUNGBC-12,Eribulin in mTNBC Patients,1.0164383561643837,Completed,Observational,Cohort,,Non-Probability Sample,No,No,208
X9001194,UK Ibrance Patient Program (IPP) Study,2.0109589041095894,Completed,Observational,Cohort,,Non-Probability Sample,,,191
EXERT-BC,"EXErcise Regimen Designed to Improve Functional Mobility, Body Composition, and Strength After Treatment for Breast CA",0.8328767123287671,Recruiting,Observational,Other,3 Months,Non-Probability Sample,No,No,40
yifeng,Prevalence and Risk Factors for Pain and Related Adverse Reactions Among Breast Cancer Survivors on Aromatase Inhibitors,0.3041095890410959,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1200
MEC-2021-0829,An Integrated Optimization of Surgery and Radiotherapy Techniques to Improve Cosmetic Outcome and Quality of Life in Breast Conserving Therapy for Breast Cancer Patients (STARLINGS Study),3.3945205479452056,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,750
YOUNGBC-23,The Rechallenge of ADCs in MBC Patients,2.0027397260273974,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,100
NEODOC-2021668610-165,Evaluation of NeoNavia® Biopsy System in Axillary Lymph Nodes,2.3753424657534246,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No,140
2001272738,Epigenetics of TNBC in Overweight and Obese Hispanic & Non-Hispanic White Women,3.0027397260273974,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No,0
TADANAC,Targeted Axillary Dissection After Neo-adjuvant Chemotherapy,3.115068493150685,Recruiting,Observational,Other,,Non-Probability Sample,No,No,100
00055029,Investigation of a Digital Healthy Habits Program for Individuals With Breast Cancer,0.10410958904109589,Completed,Observational,Cohort,,Non-Probability Sample,No,No,30
PF008,Treatment Patterns of Neratinib in HER2+ EBC in China,3.750684931506849,Not yet recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,500
2018-0477,Infertility Survey Among Reproductive Age Women With Gynecological and Breast Cancer,4.336986301369863,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1410
712,Effects of Interpectoral-Pectoserratus Plane Block After Breast Cancer Surgery,0.49863013698630143,Not yet recruiting,Observational,Cohort,10 Days,Probability Sample,No,No,60
202301160RINA,Novel MRI Techniques on Evaluation of Lymphedema,3.6465753424657534,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,210
2019-06-027,Cohort Study of Patients With HER2-negative MBC and BRCA 1/2 Pathogenic Mutation,2.208219178082192,Unknown status,Observational,Cohort,3 Years,Non-Probability Sample,No,No,583
MRI in response assesment,Functional MRI in Predicting Response to Chemotherapy,4.545205479452055,Recruiting,Observational,Other,,Non-Probability Sample,No,No,50
19-5080,Cardio-Oncology Rehabilitation Exercise,1.7178082191780821,Recruiting,Observational,Cohort,,Probability Sample,No,No,100
IRB00092014,IORT-Breast at Medical Center Navicent Health,10.794520547945206,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,Yes,300
A5481150,Treatment Patterns & Clinical Outcomes of Palbociclib Combinations in HR+HER2-MBC,3.794520547945206,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,350
CETC 002,Association of Adjuvant Radiotherapy of Non-metastatic Breast Carcinoma With Immunomodulation and Circulating Tumor Cell Phenotype in Relation to Patient Age.,5.504109589041096,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
00031569,Photoacoustic Lymph Node Imaging,6.16986301369863,Suspended,Observational,Case-Only,,Non-Probability Sample,No,No,20
2022-001,Deformable Image Registration for Breast Adaptive Tomotherapy,0.7698630136986301,Completed,Observational,Cohort,,Probability Sample,,,40
829400,Abbreviated Breast MRI After Cancer Treatment,6.068493150684931,"Active, not recruiting",Observational,Other,,Non-Probability Sample,No,No,500
R_ReLoCC,Registry of Local Recurrences After Breast-conserving Surgery,3.4164383561643836,Not yet recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,3000
HelouEl,Factor Influencing Breast Surgery Type Decision-Making,0.1780821917808219,Completed,Observational,Cohort,1 Day,Non-Probability Sample,No,No,380
2018/827,Aspects of Breast-conserving Surgery,3.495890410958904,Completed,Observational,Cohort,,Non-Probability Sample,No,No,351
RWS-PEGCSF,Prophylactic Use of PEG-rhG-CSF in Medium-high Risk of FN in Chemotherapy of Breast Cancer,2.947945205479452,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,2000
YOUNGBC-13,18F-FDG Uptake Heterogeneity Predicts Pyrotinib Response,1.895890410958904,Completed,Observational,Cohort,,Non-Probability Sample,No,No,30
A5481170,European Treatment Patterns and Outcomes Associated With First-Line CDK4/6 Inhibition and Hormonal Therapies,1.1369863013698631,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,2400
EUBREAST-4,MEthods for LOcalization of Different Types of Breast Lesions,3.9178082191780828,Recruiting,Observational,Cohort,,Probability Sample,No,No,7416
69HCL17_0480,Collaborative Self-Management Support in Chronic Conditions - Qualitative Study,1.2027397260273973,Completed,Observational,Other,,Non-Probability Sample,No,No,109
A5481158,Swedish Ibrance Registries Insights (SIRI),2.0438356164383564,Recruiting,Observational,Cohort,,Non-Probability Sample,,,1500
EUBREAST-11R,International Prospective REgistry on Pre-pectorAl Breast REconstruction,4.002739726027397,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1236
WSG-NIS04 / PROOFS,PROOFS-Registry - Premenopausal Women With Breast Cancer Optimally Treated With OFS,12.490410958904109,Recruiting,Observational,Cohort,10 Years,Non-Probability Sample,No,No,1470
SCHBCC-N023,Patient Report Outcome-Reconstruction and Oncoplastic Cohort,5.504109589041096,Recruiting,Observational,Cohort,24 Months,Non-Probability Sample,No,No,10000
MC1937,Immune Response to Anti-HER2 Therapies in Patients With HER2-Positive Stage I-IV Breast Cancer,8.005479452054795,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,500
2018-A03054-51,Loreline Study: Characterization of Long Responders Under Eribuline,1.5205479452054795,Completed,Observational,Cohort,,Non-Probability Sample,No,No,97
2020-10/850,Correlation of Preoperative Anxiety With Early Postoperative Cognitive Dysfunction in Breast Cancer Patients,0.726027397260274,Completed,Observational,Other,8 Months,Probability Sample,No,No,200
IEO 0758/,Histology VABB-Histology Post Surgery Pilot Project (BETTY Trial),3.5863013698630137,"Active, not recruiting",Observational,Case-Only,,Non-Probability Sample,No,No,22
GN19ON381,Investigating the Long-term Cardiac Sequelae of Trastuzumab Therapy,1.6986301369863013,Recruiting,Observational,Case-Control,,Probability Sample,No,No,60
