ID,Title,Start_Date,Completion_Date,Actual_Duration,Status,Study_Type
TADANAC,Targeted Axillary Dissection After Neo-adjuvant Chemotherapy,2021-04-21,2024-06-01,1137 days,Recruiting,Observational
00055029,Investigation of a Digital Healthy Habits Program for Individuals With Breast Cancer,2021-07-05,2021-08-12,38 days,Completed,Observational
C4391002,A Study to Learn About the Study Medicine (Called PF-07220060 in Combination With PF-07104091) In Participants With Breast Cancer and Solid Tumors,2022-03-14,2027-12-30,2117 days,Recruiting,Interventional
CPH-2022-10-MHS-2,Effect of Topical Diclofenac on Clinical Outcome in Breast Cancer Patients Treated With Capecitabine,2022-12-08,2023-11-01,328 days,Recruiting,Interventional
HCRN BRE17-141,Trial of Pre-operative Neratinib and Endocrine Therapy With Trastuzumab in Triple Positive Breast Cancers,2022-07-21,2024-02-01,560 days,Recruiting,Interventional
YOUNGBC-11,First-line Nab-paclitaxel Plus Cisplatin Plus Carilizumab in mTNBC Patients,2020-08-25,2023-10-15,1146 days,Recruiting,Interventional
C4891018,A Study to Learn About the Study Medicine (Called ARV-471) in People With ER+/HER2- Advanced BC in China,2023-02-20,2024-12-03,652 days,Recruiting,Interventional
P-2020-246,Stick Together - Pilot Intervention Study,2023-02-01,2024-05-31,485 days,Enrolling by invitation,Interventional
YOUNGBC-18,Sintilimab and Bevacizumab Biosimilar Combined With PLD in mTNBC,2022-06-15,2025-03-15,1004 days,Recruiting,Interventional
SHR-1210-APTN-IIT-TNBC,A Trial of SHR-1210 (an Anti-PD-1 Antibody) in Combination With Apatinib in Patients With Advanced TNBC,2018-01-10,2020-09-30,994 days,Completed,Interventional
PF008,Treatment Patterns of Neratinib in HER2+ EBC in China,2022-09-30,2026-06-30,1369 days,Not yet recruiting,Observational
FMUUH-BC-2201,PirfenidoneVsPlacebo as Prophylaxis Against Acute Radiation-induced Lung Injury Following HFRT in Breast Cancer Patients,2023-01-27,2024-05-31,490 days,Not yet recruiting,Interventional
20-153,Sacituzumab Govitecan +/- Pembrolizumab In HR+ / HER2 - MBC,2020-09-23,2027-06-01,2442 days,Recruiting,Interventional
OBU-BC-II-024,Trastuzumab Combined With Pyrrolidine and Chemotherapy for Locally HER2 Positive Breast Cancer,2020-07-01,2026-12-01,2344 days,Recruiting,Interventional
328717,Effects of a Physical Exercise and Health Education Program for Women With Breast Cancer Undergoing Chemotherapy,2019-03-01,2023-01-31,1432 days,Unknown status,Interventional
2066383,Metacognitive Strategy Training in Cancer-related Cognitive Impairment,2022-08-09,2024-06-01,662 days,Recruiting,Interventional
2021-5644,App for Adverse Events to Oral Chemotherapy - Pilot Study,2023-01-16,2023-12-31,349 days,Recruiting,Interventional
MC1935,Assessing the Rate of Complications in X-Ray Therapy Versus Proton Beam Radiation Therapy After Breast Conserving Surgery or Mastectomy in Treating Patients With Breast Cancer,2020-06-01,2024-06-01,1461 days,Recruiting,Interventional
19F.265,A Text-based Intervention in Improving Adherence to Hormone Therapy in Patients With Stage I-III Hormone Receptor Positive Breast Cancer,2018-11-07,2024-05-31,2032 days,Recruiting,Interventional
201901698B0,Music Therapy in Patients With Breast Cancer- a Randomized Controlled Trial,2020-09-01,2020-12-31,121 days,Unknown status,Interventional
2,A Feasibility Study of the Bone@BC App Version 3.0,2022-12-01,2024-10-30,699 days,Not yet recruiting,Interventional
2018-0477,Infertility Survey Among Reproductive Age Women With Gynecological and Breast Cancer,2019-04-01,2023-08-01,1583 days,Recruiting,Observational
MedOPP253,Ipatasertib Plus Non-Taxane Chemotherapy for Advanced or Metastatic Triple-Negative Breast Cancer,2020-10-08,2024-01-31,1210 days,"Active, not recruiting",Interventional
S-20180117,Treatment of Breast Cancer-related Lymphedema With Stem Cells and Fat Grafting,2018-12-18,2021-06-01,896 days,Completed,Interventional
BZ01/17,Effect of Quilting Sutures on Post-operative Drainage After Mastectomy and/or Axillary Lymph Node Dissection,2019-02-19,2020-10-01,590 days,Terminated,Interventional
712,Effects of Interpectoral-Pectoserratus Plane Block After Breast Cancer Surgery,2022-10-06,2023-04-06,182 days,Not yet recruiting,Observational
RC48-C006,A Study of RC48-ADC Administered Intravenously to Patients With HER2-Positive Metastatic Breast Cancer With or Without Liver Metastases,2018-04-24,2023-12-31,2077 days,Recruiting,Interventional
KGYY-001,Plasmodium Immunotherapy for Breast and Liver Cancers,2018-08-10,2021-12-31,1239 days,Unknown status,Interventional
1808852902,"Pilot, Syndros, Decreasing Use of Opioids in Breast Cancer Subjects With Bone Mets",2018-12-19,2021-04-26,859 days,Completed,Interventional
UHaiArtBC,The Role of Emotional Processing in Improving the Quality of Life of Breast Cancer Patients,2019-06-11,2022-06-10,1095 days,Completed,Interventional
16381,Responsiveness to Acute Changes in Exercise and Relaxation (RACER) Trial,2018-10-15,2019-02-28,136 days,Completed,Interventional
NL67059.068.18,Microsurgical Treatment of Breast Cancer-related Lymphedema by Lymphaticovenous Anastomosis,2019-01-01,2022-08-01,1308 days,Recruiting,Interventional
WHUH-BC-001,Camrelizumab in Combination With PLD and Losartan in Patients With TNBC Who Have Received ≦ 1 Line of Chemotherapy,2021-10-01,2024-10-01,1096 days,Not yet recruiting,Interventional
ALRN-6924-1-05,A Study of ALRN-6924 for Protection of Chemotherapy-Induced Side Effects in Patients With TP53-Mutant Breast Cancer,2023-01-09,2023-02-22,44 days,Terminated,Interventional
202301160RINA,Novel MRI Techniques on Evaluation of Lymphedema,2023-04-10,2026-12-01,1331 days,Recruiting,Observational
IRB00223131,Adaptive Nutrition and Exercise Weight Loss (A-NEW) Study,2021-02-08,2023-12-31,1056 days,"Active, not recruiting",Interventional
202111198,Combination Liposomal Irinotecan and Pembrolizumab For Triple-Negative Breast Cancer (TNBC) With Brain Metastases (BM),2023-04-30,2029-10-31,2376 days,Not yet recruiting,Interventional
Shengjing-LCG003,Palbociclib + Letrozole Versus Epirubicin + Cyclophosphamide and Sequential Docetaxel as Neoadjuvant Chemotherapy,2021-07-19,2026-05-31,1777 days,Not yet recruiting,Interventional
AHQU-2022002,Personalized Electroacupuncture Treatment for Chemotherapy-induced Nausea and Vomiting in Breast Cancer (PET),2022-03-15,2024-12-31,1022 days,Recruiting,Interventional
IC 2019-04,MIRs 04 : Interpectoral Nerve Block With Ropivacaine Versus Placebo Before Breast Cancer Surgery,2020-08-04,2022-01-28,542 days,Completed,Interventional
STU00201961B,A Research Study for Latina Women With Breast Cancer,2021-04-01,2023-04-25,754 days,"Active, not recruiting",Interventional
2-107-05-079,Use of a Remifentanil-propofol Mixture in Patients Undergoing Breast Cancer Surgery,2018-08-03,2018-12-27,146 days,Completed,Interventional
2001272738,Epigenetics of TNBC in Overweight and Obese Hispanic & Non-Hispanic White Women,2022-08-30,2025-08-30,1096 days,Withdrawn,Observational
2018/781,Pre-operative Hypnosis to Prevent Side Effects After Surgery,2018-05-01,2020-12-31,975 days,Completed,Interventional
2012-090-1182,Shared Decision Making in Surveillance for Distant Metastasis in Breast Cancer,2021-07-06,2024-01-31,939 days,Enrolling by invitation,Interventional
IRB00054587,Ketoconazole Before Surgery in Treating Patients With Recurrent Glioma or Breast Cancer Brain Metastases,2019-03-13,2023-08-01,1602 days,Recruiting,Interventional
VSN-18-199,The Effects of Light Therapy to Treat Cancer-related Side Effects,2020-06-08,2024-07-01,1484 days,Recruiting,Interventional
2022YF035-01,Dalpiciclib Plus Letrozole and Capecitabine,2022-08-10,2024-08-01,722 days,Not yet recruiting,Interventional
22-544,TRUDI: TDXD+Durva in HER2+/Low IBC,2023-06-01,2032-12-01,3471 days,Not yet recruiting,Interventional
2019-06-027,Cohort Study of Patients With HER2-negative MBC and BRCA 1/2 Pathogenic Mutation,2019-10-17,2021-12-31,806 days,Unknown status,Observational
MRI in response assesment,Functional MRI in Predicting Response to Chemotherapy,2019-06-15,2023-12-30,1659 days,Recruiting,Observational
021-013772,Marker Technique Comparison in Targeted Axillary Dissection,2023-07-01,2025-01-01,550 days,Not yet recruiting,Interventional
GCO 15-1783,Systematic Light Exposure for Fatigue in Breast Cancer Patients,2018-01-25,2022-04-30,1556 days,Recruiting,Interventional
1191/2018,"Exercise, Cancer and Cognition: The ECCO-Study",2019-12-01,2025-12-01,2192 days,Recruiting,Interventional
NCI-2017-01119,Testing the Drug Atezolizumab or Placebo With Usual Therapy in First-Line HER2-Positive Metastatic Breast Cancer,2019-03-12,2024-04-30,1876 days,"Active, not recruiting",Interventional
UAB 1794,"Tucatinib, Trastuzumab, and Capecitabine for the Treatment of HER2+ LMD",2019-02-20,2024-07-22,1979 days,"Active, not recruiting",Interventional
19-5080,Cardio-Oncology Rehabilitation Exercise,2022-03-14,2023-12-01,627 days,Recruiting,Observational
METIS,ACH-TH vs EC-TH as Neoadjuvant Therapy for HER2-positive EBC,2019-01-10,2022-01-01,1087 days,Unknown status,Interventional
IUSCC-0616 (1709077419),Investigating the Preventative Ability of Massage Therapy on Paclitaxel Induced Peripheral Neuropathy,2018-02-08,2018-10-15,249 days,Terminated,Interventional
IRB00092014,IORT-Breast at Medical Center Navicent Health,2019-03-19,2029-12-31,3940 days,Recruiting,Observational
APA-PG1,Adapted Physical Activity (APA) in a Breast Cancer Population.,2019-01-01,2022-12-31,1460 days,"Active, not recruiting",Interventional
26778919.3.0000.0072,Acupuncture for Peripheral Neuropathy Induced by Paclitaxel in Early Stage Breast Cancer,2020-01-30,2022-02-28,760 days,Unknown status,Interventional
HSM/VGH-2017-01-011AC,Effects of Naturalistic Decision-Making Model-based Oncofertility Care Education,2018-05-01,2020-08-30,852 days,Completed,Interventional
H2207-207-1346,Evaluating the Efficacy and Safety of Fulvestrant Plus DNA Damage Repair Inhibitors After a CDK4/6 Inhibitor,2022-12-31,2025-12-31,1096 days,Not yet recruiting,Interventional
CRM-BRE-002,The Malaysian Soy and Mammographic Density Study,2018-11-19,2020-06-01,560 days,Unknown status,Interventional
BC-TATOO-2020,Application of Preoperative Axillary Lymph Node Marking With Nano-Carbon in Breast Cancer Patients Before Neoadjuvant Chemotherapy,2020-03-01,2023-03-31,1125 days,Recruiting,Interventional
ICO-N-2018-03,Sentinel Lymph Node After Neoadjuvant Chemotherapy in Breast Carcinoma,2019-01-08,2023-10-01,1727 days,Recruiting,Interventional
20190511,Ultrasound-assisted CNSs Mapping Versus Dual-tracer-guided Sentinel Lymph Node Biopsy,2019-12-01,2021-06-01,548 days,Completed,Interventional
RG1121659,Effect of HSD3B1 (1245C) Gene Mutation on Treatment of Stage I-III Breast Cancer,2022-01-23,2023-09-30,615 days,Recruiting,Interventional
17-AKD-186,Erector Spinae Block in Segmental Mastectomy.,2018-04-03,2019-05-01,393 days,Unknown status,Interventional
Immuno2020-01,A Phase II Trial of Camrelizumab in Combination With Apatinib and Eribulin in Patients With Advanced TNBC,2020-03-25,2023-08-31,1254 days,"Active, not recruiting",Interventional
BGB-A317-ZW25-101,Anti-HER2 Bispecific Antibody ZW25 Activity in Combination With Chemotherapy With/Without Tislelizumab,2020-03-26,2026-12-31,2471 days,"Active, not recruiting",Interventional
STUDY00011444,Nurse AMIE: Addressing Metastatic Individuals Everyday,2019-03-01,2020-09-01,550 days,Completed,Interventional
TQB3616-Ⅲ-02,"To Evaluate the Efficacy and Safety of TQB3616 in Combination With Flulvesant Versus Placebo in Combination With Flulvesant in Previously Untreated Hormone-receptor (HR)-Positive, Human Epidermal Growth Factor Receptor 2 (HER2)-Negative Advanced Breast Cancer",2022-06-01,2026-06-01,1461 days,Not yet recruiting,Interventional
ATOX-2018,Efficacy and Safety of Atezolizumab Plus Capecitabine Adjuvant Therapy for Triple Receptor-Negative Breast Cancer,2019-01-15,2027-01-31,2938 days,Recruiting,Interventional
A5481150,Treatment Patterns & Clinical Outcomes of Palbociclib Combinations in HR+HER2-MBC,2021-07-15,2025-04-30,1385 days,Recruiting,Observational
SHAW001,Losartan to Reduce Radiation Induced Fibrosis in Breast Cancer Patients,2023-01-01,2026-12-31,1460 days,Not yet recruiting,Interventional
71306642-5/24,Serratus Plane Plus Pectoral I Block Versus Serratus Plane Block for Perioperative Analgesia in Breast Cancer Surgery,2019-04-06,2019-09-20,167 days,Completed,Interventional
CETC 002,Association of Adjuvant Radiotherapy of Non-metastatic Breast Carcinoma With Immunomodulation and Circulating Tumor Cell Phenotype in Relation to Patient Age.,2021-07-01,2026-12-31,2009 days,Recruiting,Observational
2021-0077,Grapiprant and Eribulin for the Treatment of Metastatic Inflammatory Breast Cancer,2021-11-04,2025-12-31,1518 days,Recruiting,Interventional
SYSA1501-CSP-005,"DP303c in Patients With HER2-positive Unresectable Locally Advanced, Relapsed, or Metastaticbreast Cancer",2022-05-01,2023-12-31,609 days,Not yet recruiting,Interventional
00031569,Photoacoustic Lymph Node Imaging,2019-11-01,2025-12-31,2252 days,Suspended,Observational
1028595,Chemotherapy-Induced Peripheral Neuropathy-Essential Oil Intervention,2018-06-25,2019-12-30,553 days,Completed,Interventional
QoLMa,Quality of Life Improvement During Chemotherapy,2021-07-31,2024-12-30,1248 days,Recruiting,Interventional
CTPR-0015,"An Efficacy Study of the Xoft® Axxent® eBx® IORT System® ""Lite""",2022-06-30,2034-06-30,4383 days,Withdrawn,Interventional
FZPL-Ib-105,A Trial of SHR-1210 (an Anti-PD-1 Inhibitor) in Combination With Apatinib and Fluzoparib in Patients With TNBC,2019-06-04,2021-02-09,616 days,Completed,Interventional
TDM of TAM,Therapeutic Dose Monitoring (TDM) of Tamoxifen,2022-04-04,2023-03-01,331 days,"Active, not recruiting",Interventional
STUDY20110029,Screening Contrast-Enhanced Mammography as an Alternative to MRI,2021-02-15,2024-01-31,1080 days,"Active, not recruiting",Interventional
ECP 250 - 15/16,Dibenzyl Trisulphide (GUINEAHEN WEED) for Stage IV Cancer,2018-10-01,2020-09-30,730 days,Unknown status,Interventional
CTR20220630,Mindfulness Yoga and Sexual Functioning,2022-08-01,2024-08-01,731 days,Not yet recruiting,Interventional
2022-001,Deformable Image Registration for Breast Adaptive Tomotherapy,2022-06-27,2023-04-04,281 days,Completed,Observational
REC 22/WA/0164,Acceptance and Usability of an App Promoting Healthy Behaviours Amongst Young Women at Increased Risk of Breast Cancer,2022-11-03,2023-03-10,127 days,Completed,Interventional
2019DEPO-TRIGGER001,DEPO-Trigger Trial: GnRH Agonist DEPOt TRIGGER for Final Oocyte Maturation,2020-11-01,2021-12-31,425 days,Unknown status,Interventional
OSU-16288,Nipple Aspirate Fluid in Detecting Breast Cancer,2019-07-25,2023-12-31,1620 days,Recruiting,Interventional
20.478.486,Is Breast Massage Necessary to Find Sentinel Lymph Node?,2021-12-06,2023-08-01,603 days,Recruiting,Interventional
829400,Abbreviated Breast MRI After Cancer Treatment,2018-09-07,2024-09-30,2215 days,"Active, not recruiting",Observational
J16146,Personalized Molecular Profiling in Cancer Treatment at Johns Hopkins,2018-01-26,2023-07-01,1982 days,Recruiting,Interventional
2022-A02337-36,4D CT Scan With Respiratory Gating Versus 3D CT Scan Concerning Cardiac Dosimetry Assesment for Left Sided Breast Cancers Radiotherapy.,2023-02-01,2023-06-01,120 days,Not yet recruiting,Interventional
STUDY00001721,Evaluation of Hydroxychloroquine to Prevent CIPN,2023-06-01,2024-12-01,549 days,Not yet recruiting,Interventional
H19017,Somatic Acupressure for Symptom Cluster Management in Breast Cancer Patients,2021-03-15,2022-07-20,492 days,Completed,Interventional
1100903,Effect of Acupuncture vs Chinese Medicine vs Combined Therapy on Aromatase Inhibitor-related Arthralgia Among Women With Early-Stage Breast Cancer,2022-05-05,2023-03-03,302 days,Recruiting,Interventional
LAAVA2,Laser Therapy for Vulvovaginal Symptoms in Breast Cancer Patients,2018-07-24,2021-10-01,1165 days,Unknown status,Interventional
BXu-1839,The Trial Comparing Dose-dense AC-T With TP as Adjuvant Therapy for TNBC With Homologous Recombination Repair Deficiency,2019-02-22,2024-12-01,2109 days,Recruiting,Interventional
NABP201801,A Study of First-line JS001 and Nab-paclitaxel Versus Palcelbo and Nab-Paclitaxel in Participants With Advanced Recurrent or Metastatic TNBC,2018-12-21,2020-07-30,587 days,Suspended,Interventional
RG1121642,Personalized Neo-Antigen Peptide Vaccine for the Treatment of Stage IIIC-IV Melanoma or Hormone Receptor Positive Her2 Negative Metastatic Refractory Breast Cancer,2022-06-09,2024-11-01,876 days,Recruiting,Interventional
C-plus-Pairs,"A Trial Exploring the Opportune Administration of Nab-paclitaxel in the First Line Treatment, Camrelizumab Combined With Nab-paclitaxel and Famitinib, of TNBC.",2023-03-01,2023-09-01,184 days,Recruiting,Interventional
46.20 PAR ComEt CBM,Breast Stereotactic Radiotherapy to Primary Tumors in Metastatic Patients,2020-07-10,2023-04-10,1004 days,Recruiting,Interventional
URomLS_4,Metabolomic Evaluation of Psycho-surgical Synergy on Body Image Restoration After Breast Cancer,2022-10-26,2024-01-30,461 days,Recruiting,Interventional
012418QM,Investigate the Contribution of Ipatasertib to Neoadjuvant Chemotherapy Plus Atezolizumab in TNBC,2018-12-19,2026-01-30,2599 days,"Active, not recruiting",Interventional
R_ReLoCC,Registry of Local Recurrences After Breast-conserving Surgery,2023-01-01,2026-06-01,1247 days,Not yet recruiting,Observational
2020466,PD-1 Inhibitor Concurrent With Chemotherapy as Neoadjuvant Therapy for TNBC,2021-03-01,2024-03-01,1096 days,Not yet recruiting,Interventional
SYM011,AKY15-HK-301_NEPA Study,2018-02-27,2025-12-31,2864 days,Recruiting,Interventional
2021-0031,"An Imaging Technology, Contrast-Enhanced Mammography, in Predicting Breast Cancer",2021-04-08,2024-03-01,1058 days,Recruiting,Interventional
16-0040-02,Pink Warrior 2: Teleconference-based Gaming Support,2020-05-11,2022-03-29,687 days,Completed,Interventional
X4P-001-201,"A Study to Assess the Safety, Tolerability and Antitumor Activity of X4P-001 in Combination With TNBC",2021-07-21,2023-05-21,669 days,Enrolling by invitation,Interventional
2022-008,Protocol for Herceptin as Adjuvant Therapy With Reduced Exposure to Chemotherapy (PHARE-C),2022-12-15,2030-12-15,2922 days,Not yet recruiting,Interventional
2017-0479,Comprehensive Lifestyle Change To Prevent Breast Cancer,2019-04-04,2022-09-01,1246 days,Recruiting,Interventional
SYSU-2022-01,Mechanism Exploration of Anti-HER-2 Small-molecule Tyrosine Kinase Inhibitor-related Diarrhea and Establishment of Prevention and Treatment Model(Measure),2023-04-12,2024-08-01,477 days,Recruiting,Interventional
SAKK 21/18,Ribociclib-endocrine Combination Therapy Versus Chemotherapy as 1st Line in Visceral mBC,2019-06-25,2021-04-15,660 days,Terminated,Interventional
HelouEl,Factor Influencing Breast Surgery Type Decision-Making,2022-06-15,2022-08-19,65 days,Completed,Observational
2018/827,Aspects of Breast-conserving Surgery,2019-01-01,2022-06-30,1276 days,Completed,Observational
RWS-PEGCSF,Prophylactic Use of PEG-rhG-CSF in Medium-high Risk of FN in Chemotherapy of Breast Cancer,2019-01-20,2021-12-31,1076 days,Unknown status,Observational
736-19,The Patterns of Activity and Cognition During Treatment (PACT) Study,2021-01-15,2022-10-31,654 days,"Active, not recruiting",Interventional
198411013011,The Effect of Walking Exercise Based on TOUS on Peripheral Neuropathy and Arthralgia-Myalgia in Women With Breast Cancer,2022-07-20,2023-10-06,443 days,Recruiting,Interventional
AP1907-50101,Perioperative Analgesic Modalities for Breast Cancer Surgeries,2020-01-28,2020-07-01,155 days,Completed,Interventional
YOUNGBC-13,18F-FDG Uptake Heterogeneity Predicts Pyrotinib Response,2018-09-01,2020-07-24,692 days,Completed,Observational
2021-19,The Efficacy and Safety of Sintilimab Plus Anlotinib Combined With Chemotherapy as Neoadjuvant Therapy in TNBC,2021-09-15,2025-12-31,1568 days,Recruiting,Interventional
A5481170,European Treatment Patterns and Outcomes Associated With First-Line CDK4/6 Inhibition and Hormonal Therapies,2022-02-08,2023-03-30,415 days,Recruiting,Observational
RLY-5836-101,First-in-Human Study of RLY-5836 in Advanced Breast Cancer and Other Solid Tumors,2023-03-29,2026-01-13,1021 days,Recruiting,Interventional
BRI-ROL-001,Combination Study of SV-BR-1-GM With Retifanlimab,2018-03-16,2023-06-30,1932 days,Recruiting,Interventional
RP-PG-1214-20016,What Are the Benefits and Harms of Risk Stratified Screening in the NHS Breast Screening Programme: Study Protocol,2019-08-01,2022-06-30,1064 days,Completed,Interventional
220287,The Effects of Two Exercise Interventions on Breast Cancer Patients Undergoing Cardiotoxic Chemotherapies,2023-04-01,2025-03-15,714 days,Not yet recruiting,Interventional
PI17/01687,Exercise-based Cardiac Rehabilitation for the Prevention of Breast Cancer Chemotherapy-induced Cardiotoxicity,2018-08-01,2022-03-01,1308 days,"Active, not recruiting",Interventional
BCP-25,Comparative Study of Scalp Cooling System and Chemical Cold Cap (COHAIR Study),2019-03-07,2023-12-31,1760 days,Recruiting,Interventional
20210312/2,Neoadjuvant Chemotherapy in Breast Cancer,2021-03-12,2024-03-30,1114 days,Recruiting,Interventional
2018-1518,"Pain, Psychological, and Endocannabinoid Responses to Yoga in Breast Cancer Survivors With Chemotherapy-induced Neuropathic Pain",2019-07-31,2020-02-03,187 days,Completed,Interventional
EUBREAST-4,MEthods for LOcalization of Different Types of Breast Lesions,2023-01-01,2026-12-01,1430 days,Recruiting,Observational
UCI 18-79 [HS# 2020-5660],Neo-Adjuvant Abemaciclib With Fulvestrant in Patients With ER/PR +HER Negative Breast Cancer,2020-07-23,2022-02-16,573 days,Terminated,Interventional
ePOST,Efficacy of Point Of Service Testing in MBC,2019-06-11,2024-08-01,1878 days,Recruiting,Interventional
URCC16070,Netupitant/Palonosetron Hydrochloride and Dexamethasone With or Without Prochlorperazine or Olanzapine in Improving Chemotherapy-Induced Nausea and Vomiting in Patients With Breast Cancer,2018-04-19,2025-06-30,2629 days,Recruiting,Interventional
Shengjing-LJY06,Axillary Lymph Node Treatment Guided by Naocarbon Tracing After Neoadjuvant Chemotherapy,2021-11-01,2028-10-31,2556 days,Recruiting,Interventional
Pro00105104,Glucagon Receptor Inhibition to Enable Breast Cancer Patients to Benefit From PI3K Inhibitor Therapy (REMD-477),2020-11-13,2021-05-05,173 days,Terminated,Interventional
202210064DIPD,"LLLT for BCRL: a Randomized, Placebo-controlled Study",2023-02-15,2024-10-31,624 days,Not yet recruiting,Interventional
PERT.21.001,"A Study to Evaluate Safety, Efficacy, Pharmacokinetics, and Immunogenicity of Test Pertuzumab (ZRC-3277, Cadila Healthcare Ltd.,)",2022-09-17,2024-12-31,836 days,Not yet recruiting,Interventional
HCI140278,[18F]Fluoroestradiol-PET/CT Companion Imaging Study to the FORESEE Trial,2021-03-31,2025-04-30,1491 days,Recruiting,Interventional
MedOPP068,PALbociclib Rechallenge in horMone Receptor-posItive/HER2- Negative Advanced Breast Cancer (PALMIRA),2019-04-05,2022-11-30,1335 days,Completed,Interventional
69HCL17_0480,Collaborative Self-Management Support in Chronic Conditions - Qualitative Study,2018-04-14,2019-06-27,439 days,Completed,Observational
KCT003,A Multi-center Randomized Control Cross-over Study to Evaluate the Safety and Effectiveness of the Dayspring Active Wearable Compression Device vs. an Advanced Pneumatic Compression Device for Treating Breast Cancer Related Lymphedema,2021-06-01,2021-12-31,213 days,Recruiting,Interventional
SILMET_0107665,SILibinin in NSCLC and BC Patients With Single Brain METastasis (SILMET),2023-01-02,2027-01-01,1460 days,Recruiting,Interventional
S-20180134,Prevention of Breast Cancer-related Lymphedma With Tacrolimus,2020-02-26,2022-09-01,918 days,"Active, not recruiting",Interventional
241379,Carbon Dye Tattooing of Biopsied Axillary Node in Breast Cancer,2018-04-27,2019-07-31,460 days,Completed,Interventional
A5481158,Swedish Ibrance Registries Insights (SIRI),2020-12-15,2022-12-31,746 days,Recruiting,Observational
2021/270,Effect of Nurse-led Supportive Care on Quality of Life,2022-01-03,2022-06-10,158 days,Completed,Interventional
EUBREAST-11R,International Prospective REgistry on Pre-pectorAl Breast REconstruction,2023-05-10,2027-05-10,1461 days,Not yet recruiting,Observational
202109031MIPD,"Immunotherapy, Hormone Therapy, and AKT Inhibitor for Premenopausal ER Positive MBC",2023-01-17,2025-12-31,1079 days,Recruiting,Interventional
00048814,Mobile Behavior Change Program for Weight Loss in Breast Cancer Survivors,2021-03-24,2021-10-01,191 days,Completed,Interventional
JD-LK-2022-136-01,"Vinorelbine Metronomic Chemotherapy Combined With Hypofractionated Radiotherapy, PD-1/PD-L1 Sequential GM-CSF and IL-2 for Treatment of Advanced Refractory Non-small Cell Lung Cancer and Breast Cancer(PRaG 6.0)",2022-10-30,2024-10-17,718 days,Not yet recruiting,Interventional
2017/12-SBO-GHMG,Autohypnosis and Cancerology,2018-05-23,2022-07-01,1500 days,Completed,Interventional
WSG-NIS04 / PROOFS,PROOFS-Registry - Premenopausal Women With Breast Cancer Optimally Treated With OFS,2022-12-07,2035-06-01,4559 days,Recruiting,Observational
LYT-100-2020-01,LYT-100 in Healthy Volunteers and BCRL,2020-03-01,2022-09-09,922 days,Completed,Interventional
SCHBCC-N023,Patient Report Outcome-Reconstruction and Oncoplastic Cohort,2019-07-01,2024-12-30,2009 days,Recruiting,Observational
2017-0328,Development of Exercise Promotion Program Using a Mobile Community,2018-01-30,2018-12-31,335 days,Completed,Interventional
2179 CE,Music Listening in Radiotherapy Treatment,2018-03-05,2020-09-30,940 days,Completed,Interventional
Pro00117242,Moving Forward Together 4,2022-11-01,2025-01-01,792 days,Recruiting,Interventional
MC1937,Immune Response to Anti-HER2 Therapies in Patients With HER2-Positive Stage I-IV Breast Cancer,2020-07-27,2028-07-27,2922 days,Recruiting,Observational
2018-A03054-51,Loreline Study: Characterization of Long Responders Under Eribuline,2019-08-23,2021-02-28,555 days,Completed,Observational
US-003,Magseed Enabled Long-Term Localization of Axillary Lymph Nodes,2019-06-13,2024-04-01,1754 days,Recruiting,Interventional
7119-002,Safety and Pharmacokinetics of Tucatinib (MK-7119) in Chinese Participants With Cancer (MK-7119-002),2022-06-29,2025-12-29,1279 days,"Active, not recruiting",Interventional
21-169,Scalp Cooling in MBC,2021-10-07,2026-06-01,1698 days,Recruiting,Interventional
2018-002,Evaluating the Efficacy of Neratinib on Live Cell HER2 Signaling Transduction Analysis Positive Triple Negative Breast,2019-06-21,2023-04-15,1394 days,Unknown status,Interventional
12345,The Neoadjuvant Combined Hormone Therapy in Premenopausal Women With Locally Advanced ER+/HER2- Breast Cancer,2021-01-28,2024-01-28,1095 days,"Active, not recruiting",Interventional
GLSI-21-01,Phase 3 Study to Evaluate the Efficacy and Safety of HER2/Neu Peptide GLSI-100 (GP2 + GM-CSF) in HER2/Neu Positive Subjects,2022-08-11,2026-12-01,1573 days,Recruiting,Interventional
A221702,Axillary Reverse Mapping in Preventing Lymphedema in Patients With Breast Cancer Undergoing Axillary Lymph Node Dissection,2019-05-31,2024-01-01,1676 days,Recruiting,Interventional
22-006606,3D Ultrasound for the Imaging of Axillary Lymph Nodes in Patients With Breast Cancer,2023-02-14,2025-04-01,777 days,Recruiting,Interventional
CAPRICE,Cancer Adverse Effects PReventIon With Care & Exercise: the CAPRICE Study,2019-05-01,2023-01-31,1371 days,Terminated,Interventional
CT/2019/CANFLAX,Can Flaxseed Prevent Broken Hearts in Women With Breast Cancer Study?,2020-10-21,2022-12-31,801 days,Unknown status,Interventional
20-754,Axillary Lymph Node Tattoo Marking Study,2021-12-29,2025-06-30,1279 days,Recruiting,Interventional
URomLS-2019,The Sequelae of Mastectomy and Quadrantectomy Respect to the Reaching Movement in Breast Cancer Survivors,2018-04-23,2019-04-15,357 days,Completed,Interventional
2021-01-075,PALbociclib Endocrine Therapy Followed by Talazo vs. Talazoz-Atezo Study,2021-09-01,2027-12-31,2312 days,Not yet recruiting,Interventional
mavis20023,Application-Enabled Shared Decision-Making,2019-08-01,2020-07-31,365 days,Completed,Interventional
HiFi-APBI,High Five (HiFi) Accelerated Partial Breast Irradiation Study,2021-10-01,2025-12-31,1552 days,Recruiting,Interventional
