ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
LonghuaH,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
OTT 18-01,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 4
ZL-1302-002,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
PTC-breastNAT,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Phase 2
MCC-21-18633,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
Fudan-P1-201701,Interventional,Experimental,Combination Product,Parallel Assignment,,,,Phase 1
CBYL719C2005,Observational,,Other,,Other,,Non-Probability Sample,
2018-0473,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
BCIG,Observational,,Procedure,,Cohort,5 Years,Probability Sample,
2019-0638,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
ZG-2021-002,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
NCC1786,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
NU 19B07,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
LUT-RD-02-01,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
Neo-RT,Observational,,Radiation,,Cohort,,Non-Probability Sample,
MEDOPP445,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
OSU-18174,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
ICR-CTSU/2017/10065,Interventional,No Intervention,Drug,Parallel Assignment,,,,Phase 2
VICC BRE 18108,Interventional,Experimental,Dietary Supplement,Single Group Assignment,,,,Early Phase 1
RIGAIN,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
Survey_App,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
DR210090_SILENCE,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
69HCL21_0552,Observational,,Other,,Cohort,,Probability Sample,
OSU-21035,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
19-031,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
20-166,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
INCMNSZ REF 1239,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
OSU-20101,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
UW18063,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
N201912134,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
SAHZhejiangU---Breast,Observational,,Combination Product,,Cohort,5 Years,Non-Probability Sample,
IRST174.21,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PEAR-TNBC_ Protocol_v2.0,Observational,,Procedure,,Cohort,,Non-Probability Sample,
ML42876,Observational,,,,Cohort,,Non-Probability Sample,
OSU-18201,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
H-1912-010-086,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
MHICC-2018-003,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
DAN-22220205,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
UPCC 21118,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
IRB00049171,Observational,,Biological,,Case-Only,,Non-Probability Sample,
MA-BC-II-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
I 2612022,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 2
M21CAR,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
IFOM-CPT008/2022/PO007,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
RG1122380,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
4070,Interventional,Active Comparator,Device,Parallel Assignment,,,,Not Applicable
RG1003977,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2022-0239,Observational,,Drug,,Cohort,,Non-Probability Sample,
20190812,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
BabesBolyaiOncovox,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
CADPT01A12101C,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
V2011801,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
R.18.02.33,Interventional,Experimental,Procedure,Parallel Assignment,,,,Phase 3
Exactis-05,Observational,,Other,,Cohort,,Non-Probability Sample,
R21052,Observational,,Procedure,,Cohort,3 Years,Non-Probability Sample,
MCC-19-14621,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
I-19-04120,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
042001,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
767/29-09-2017,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
WSG-AM12,Interventional,Experimental,Drug,Crossover Assignment,,,,Phase 2
CSIIT-C37,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
STUDY00002985,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
i 67518,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
HCI153239,Interventional,Experimental,Other,Parallel Assignment,,,,Phase 2
268-2017,Interventional,Other,Device,Parallel Assignment,,,,Not Applicable
16-304,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
2019-A02374-53,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2022-191,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
NCI-2017-02320,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
GIM25-CAPT,Interventional,Experimental,Combination Product,Single Group Assignment,,,,Phase 2
ERC/2018/06/01,Observational,,Behavioral,,Case-Control,,Non-Probability Sample,
ELA-0121,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
844978,Observational,,Diagnostic Test,,Other,,Non-Probability Sample,
APPI2-PT-2020-AIMSS,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
EDP1503-101,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 1
S2020-300,Observational,,,,Other,1 Month,Probability Sample,
187519,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 2
OnerCengiz,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PH-CP026,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Phase 2
B1432020000025,Interventional,Experimental,Other,Crossover Assignment,,,,Not Applicable
IFG-05-2019,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CTP-BRST-01,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
A221801,Interventional,Experimental,Device,Parallel Assignment,,,,Phase 3
50619,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
2016-0538,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
2018/455,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
MC2031,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
2019-1237,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
9988,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
TN.32.1.17.SATF,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
ACT-MBC,Observational,,Diagnostic Test,,Case-Only,,Probability Sample,
KN026-US-I-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
MC1931,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CBTMMUH,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
20180259-01H,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
2017-0502,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
PHRI.SCHOLAR-2,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
OSU-18317,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
e-OTCAT20,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
23-050,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
19447,Interventional,Experimental,Dietary Supplement,Single Group Assignment,,,,Not Applicable
20G.093,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
ANI251_BCS-PI,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
NCI-2019-05187,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
OUMK59829,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
STUDY00000057,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
LACOG 0122,Observational,,,,Cohort,,Non-Probability Sample,
239531,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
Castle06(BC),Interventional,Experimental,Combination Product,Single Group Assignment,,,,Phase 2
STUDY02000934_1,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
IFG-01-2022,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
PI-0171-2020,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
STU-2019-0529,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 4
NBC Sur001,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
RG1718049,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
55457122.3.0000.5330,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
2020-A02045-34,Observational,,Other,,Cohort,,Non-Probability Sample,
ESPvsPECS/AOP,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
MP-12-2021-2565,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 2
S1703,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
OSU-19152,Interventional,Experimental,Device,Crossover Assignment,,,,Not Applicable
2018-11-128,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Not Applicable
OSU-20340,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Early Phase 1
PAXMAN,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
MC210303,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
2020-01097,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
NL80749.058.22 DIRECT 2,Interventional,Experimental,Other,Parallel Assignment,,,,Phase 3
NCI-2022-04956,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
IRB-2022-329,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
N20ESP,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Not Applicable
SMC2018-09-029-003,Observational,,Other,,Case-Only,,Non-Probability Sample,
UZBRU_VHH1_3,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
17753,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
35945/10/22,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
2019-5382,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
IRB00105944,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
IRB202201483,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
MC18C3,Interventional,Experimental,Other,Parallel Assignment,,,,Phase 2
2022-376,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2019-1042,Observational,,Procedure,,Cohort,,Non-Probability Sample,
20-002712,Interventional,Experimental,Other,Single Group Assignment,,,,Phase 1
Gabapentin RCT,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
FS-CY1502-Ph1-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
167514,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
G1T48-01,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
PH-CP032,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2018-0062,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
URomLS-2019a,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
ODO-TE-B201,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ReMig,Observational,,,,Cohort,,Probability Sample,
MAMMoutreach,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
EVE-CWM-01,Observational,,Other,,Case-Only,,Non-Probability Sample,
SAFE-FORWARD,Observational,,Radiation,,Cohort,,Non-Probability Sample,
20-222,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
20-001275,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
2018-8984,Observational,,Device,,Case-Only,,Probability Sample,
OSU-22083,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
CF22200A,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2018-0550,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
3543,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
EstroTEP COMPARE,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
230/HĐĐĐ-ĐHYD,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
2020-0715,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
NCI-2019-06088,Interventional,Experimental,Procedure,Parallel Assignment,,,,Phase 2
MA-BC-II-037,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
A5481152,Observational,,Drug,,Cohort,,Non-Probability Sample,
S2007,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
LCZ696ABM001.001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 4
2018-0127,Interventional,Experimental,Drug,Parallel Assignment,,,,Early Phase 1
19-004024,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
ANG-002,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
115300-20-52703,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
MC1635,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 2
IIT2019-21-Basho-TOPAZ,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
81603703,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
38RC20.120,Observational,,,,Case-Only,1 Day,Non-Probability Sample,
BTCRC BRE15-024,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
2021-375,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
3474028/2019,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2020-0245,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
18-000427,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
CASE11119,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
ZLYNXM202014,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
19.07,Interventional,Experimental,Other,Single Group Assignment,,,,"Phase 1, Phase 2"
REaCT-Low Risk HER-2,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
D19160,Observational,,Other,,Cohort,,Non-Probability Sample,
PRO00035701,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
REaCT-CHRONO,Interventional,Active Comparator,Other,Parallel Assignment,,,,Phase 4
Acu-CIPN,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
202104085,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
ZL-MG-BC-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
P170104J,Interventional,Other,Drug,Single Group Assignment,,,,Phase 2
Pro00104214,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
CLEE011AIT01,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 3
MedOPP150,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ODO-TE-B202,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
IO Panel,Observational,,Other,,Case-Control,,Probability Sample,
Study00146761,Interventional,Experimental,Drug,Parallel Assignment,,,,Early Phase 1
17-546,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
DRACARYS,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PA18-1077,Observational,,Other,,Cohort,,Non-Probability Sample,
RIPH2_BREYSSE_ETAPH,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
I 60217,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
21-001819,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
ARC-2 (AB928CSP0002),Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
IRB00076577,Observational,,Biological,,Cohort,,Probability Sample,
RJ-101-RCT-001,Interventional,Experimental,Drug,Parallel Assignment,,,,Early Phase 1
KEK 2021-D0051,Observational,,,,Case-Control,,Non-Probability Sample,
SCHBCC-N046,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2021-1151-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
Aqua POLO-IPC 2019-028,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
OSU-20408,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
21D.625,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
TNBC-NEO,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
RD19/125787,Observational,,Other,,Cohort,,Probability Sample,
13/21,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
NCI-2017-01960,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
USB_22 Trial,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
YOUNGBC-12,Observational,,,,Cohort,,Non-Probability Sample,
CSIIT-C25,Interventional,Experimental,Combination Product,Single Group Assignment,,,,Phase 2
SAKK 95/17,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2018-A01019-46,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Not Applicable
Fisioterapia en Linfedema,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
2019-0752,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
STUDY00003705,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
CL 2775,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 4
STUDY00003782,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
X9001194,Observational,,Drug,,Cohort,,Non-Probability Sample,
MUST-02-001,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
UEM Quirón,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
IB2022-04,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
D5336C00001,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
CE 193/17,Interventional,No Intervention,Other,Parallel Assignment,,,,Not Applicable
IRAS 314460,Interventional,Other,Procedure,Single Group Assignment,,,,Phase 2
UPCC12118,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
LCCC 1716,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
YL202-INT-101-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
227/KEPK/IX/2022,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
OFA,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
STUDY00021243,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
HNCH-2022KY59,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
Prevention of radiodermatitis,Interventional,Placebo Comparator,Device,Parallel Assignment,,,,Not Applicable
EXERT-BC,Observational,,Other,,Other,3 Months,Non-Probability Sample,
D3614C00001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
AH150202-1,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
yifeng,Observational,,Other,,Cohort,,Non-Probability Sample,
MEC-2021-0829,Observational,,Other,,Cohort,,Non-Probability Sample,
YOUNGBC-23,Observational,,Drug,,Cohort,,Non-Probability Sample,
D8530C00007,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
NEODOC-2021668610-165,Observational,,Device,,Case-Only,,Non-Probability Sample,
21-194,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
Exactis-03,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
MedOPP100,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SYSU003-2020,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
MS201922_0010,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
HR-BLTN-III-MBC-C,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
ZWI-ZW25-202,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 2
MC1892,Interventional,Experimental,Device,Single Group Assignment,,,,Phase 2
MC1734,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
UW20058,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
DokuzEUBanuNihan,Interventional,Other,Diagnostic Test,Single Group Assignment,,,,Not Applicable
202207200MIPB,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2019COIMBRA001,Interventional,Other,Procedure,Parallel Assignment,,,,Phase 2
TADANAC,Observational,,Procedure,,Other,,Non-Probability Sample,
00055029,Observational,,,,Cohort,,Non-Probability Sample,
C4391002,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
CPH-2022-10-MHS-2,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
HCRN BRE17-141,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
YOUNGBC-11,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
C4891018,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
P-2020-246,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
YOUNGBC-18,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SHR-1210-APTN-IIT-TNBC,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
PF008,Observational,,Drug,,Case-Only,,Non-Probability Sample,
FMUUH-BC-2201,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
20-153,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
OBU-BC-II-024,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
328717,Interventional,Placebo Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
2066383,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2021-5644,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
MC1935,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 2
19F.265,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
201901698B0,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
2018-0477,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
MedOPP253,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
S-20180117,Interventional,Experimental,Procedure,Parallel Assignment,,,,Phase 2
BZ01/17,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
712,Observational,,Other,,Cohort,10 Days,Probability Sample,
RC48-C006,Interventional,Experimental,Drug,Crossover Assignment,,,,"Phase 2, Phase 3"
KGYY-001,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
1808852902,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
UHaiArtBC,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
16381,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
NL67059.068.18,Interventional,No Intervention,Procedure,Parallel Assignment,,,,Not Applicable
WHUH-BC-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ALRN-6924-1-05,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
202301160RINA,Observational,,Procedure,,Cohort,,Non-Probability Sample,
IRB00223131,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 2
202111198,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
Shengjing-LCG003,Interventional,Other,Drug,Parallel Assignment,,,,Phase 4
AHQU-2022002,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
IC 2019-04,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Phase 3
STU00201961B,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
2-107-05-079,Interventional,Experimental,Combination Product,Parallel Assignment,,,,Not Applicable
2001272738,Observational,,Procedure,,Cohort,,Non-Probability Sample,
2018/781,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
2012-090-1182,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Not Applicable
IRB00054587,Interventional,Experimental,Other,Parallel Assignment,,,,Early Phase 1
VSN-18-199,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
2022YF035-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
22-544,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2019-06-027,Observational,,,,Cohort,3 Years,Non-Probability Sample,
MRI in response assesment,Observational,,Device,,Other,,Non-Probability Sample,
021-013772,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
GCO 15-1783,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
1191/2018,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
NCI-2017-01119,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
UAB 1794,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
19-5080,Observational,,,,Cohort,,Probability Sample,
METIS,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
IUSCC-0616 (1709077419),Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
IRB00092014,Observational,,Procedure,,Cohort,10 Years,Non-Probability Sample,
APA-PG1,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
26778919.3.0000.0072,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
HSM/VGH-2017-01-011AC,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
H2207-207-1346,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CRM-BRE-002,Interventional,Experimental,Dietary Supplement,Parallel Assignment,,,,Not Applicable
BC-TATOO-2020,Interventional,Other,Drug,Single Group Assignment,,,,Not Applicable
ICO-N-2018-03,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
20190511,Interventional,Experimental,Procedure,Parallel Assignment,,,,Phase 3
RG1121659,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 4
17-AKD-186,Interventional,Active Comparator,Procedure,Parallel Assignment,,,,Not Applicable
Immuno2020-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BGB-A317-ZW25-101,Interventional,Experimental,Biological,Parallel Assignment,,,,"Phase 1, Phase 2"
STUDY00011444,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
TQB3616-Ⅲ-02,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
ATOX-2018,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
A5481150,Observational,,,,Cohort,,Non-Probability Sample,
SHAW001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
71306642-5/24,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
CETC 002,Observational,,Radiation,,Cohort,,Non-Probability Sample,
2021-0077,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
SYSA1501-CSP-005,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
00031569,Observational,,Diagnostic Test,,Case-Only,,Non-Probability Sample,
